      Step     Time          Energy          fmax
BFGS:    0 18:40:26     -101.606774       18.954093
BFGS:    1 19:29:32     -104.218701        2.806838
BFGS:    2 20:01:13     -104.254072        1.365149
BFGS:    3 20:33:39     -104.300489        0.693562
BFGS:    4 21:07:56     -104.333092        0.765105
BFGS:    5 21:40:30     -104.357616        0.809205
BFGS:    6 22:12:46     -104.374069        0.639531
BFGS:    7 22:51:23     -104.387048        0.409509
BFGS:    8 23:31:12     -104.398917        0.333723
BFGS:    9 00:07:46     -104.410393        0.327281
BFGS:   10 00:45:22     -104.415372        0.314541
BFGS:   11 01:21:10     -104.418195        0.209556
BFGS:   12 01:56:32     -104.421069        0.158292
BFGS:   13 02:27:28     -104.423830        0.161439
BFGS:   14 02:57:17     -104.425228        0.176100
BFGS:   15 03:27:10     -104.426147        0.167672
BFGS:   16 04:06:13     -104.427282        0.139114
BFGS:   17 04:47:23     -104.428394        0.128436
BFGS:   18 05:12:50     -104.429130        0.116843
BFGS:   19 05:37:44     -104.430123        0.114488
BFGS:   20 06:09:21     -104.431647        0.135751
