      Step     Time          Energy          fmax
BFGS:    0 18:34:33     -104.443780        0.972593
BFGS:    1 19:02:19     -104.466541        0.776392
BFGS:    2 19:39:08     -104.489781        0.278176
BFGS:    3 20:03:51     -104.491261        0.250859
BFGS:    4 20:34:02     -104.494283        0.301735
BFGS:    5 21:05:29     -104.496949        0.257318
BFGS:    6 21:34:22     -104.497736        0.142701
BFGS:    7 21:59:16     -104.497916        0.122560
BFGS:    8 22:24:35     -104.498099        0.116142
BFGS:    9 22:51:24     -104.498161        0.100257
BFGS:   10 23:18:29     -104.498247        0.068031
BFGS:   11 23:41:27     -104.498344        0.049069
BFGS:   12 00:06:42     -104.498380        0.057183
BFGS:   13 00:40:35     -104.498374        0.056227
BFGS:   14 01:13:56     -104.498427        0.055540
BFGS:   15 01:49:10     -104.498477        0.038058
BFGS:   16 02:16:20     -104.498500        0.026041
BFGS:   17 02:39:33     -104.498508        0.027082
BFGS:   18 03:01:57     -104.498552        0.024895
BFGS:   19 03:26:20     -104.498531        0.023651
BFGS:   20 03:49:42     -104.498559        0.021210
BFGS:   21 04:13:29     -104.498568        0.025742
BFGS:   22 04:37:04     -104.498603        0.024870
BFGS:   23 05:02:55     -104.498615        0.022804
BFGS:   24 05:28:54     -104.498602        0.019753
BFGS:   25 05:51:24     -104.498631        0.025235
BFGS:   26 06:14:56     -104.498662        0.024002
BFGS:   27 06:39:09     -104.498647        0.024288
BFGS:   28 07:01:43     -104.498686        0.026471
BFGS:   29 07:24:13     -104.498702        0.020108
BFGS:   30 07:48:59     -104.498677        0.022792
BFGS:   31 08:15:16     -104.498734        0.028933
BFGS:   32 08:39:13     -104.498783        0.016738
BFGS:   33 09:01:30     -104.498778        0.020981
BFGS:   34 09:25:46     -104.498806        0.013541
BFGS:   35 09:51:44     -104.498826        0.019340
BFGS:   36 10:15:03     -104.498836        0.012336
BFGS:   37 10:38:45     -104.498806        0.012534
BFGS:   38 10:58:51     -104.498832        0.010022
BFGS:   39 11:21:32     -104.498853        0.007896
