## SLURM PROLOG ###############################################################
##    Job ID : 7594374
##  Job Name : test
##  Nodelist : node2346
##      CPUs : 48
##  Mem/Node : 98304 MB
## Directory : /oscar/scratch/kbadger1/SaddleClimb/example/minimizations/atop
##   Job Started : Sat Jan 11 01:38:18 PM EST 2025
###############################################################################

EnvironmentNameNotFound: Could not find conda environment: ase
You can list all discoverable environments with `conda info --envs`.


      Step     Time          Energy         fmax
BFGS:    0 13:48:04     -104.332807        1.6367
BFGS:    1 13:52:29     -104.425647        1.1447
BFGS:    2 14:00:15     -104.521675        1.2958
BFGS:    3 14:04:21     -104.547552        0.4523
BFGS:    4 14:10:38     -104.562377        0.3196
BFGS:    5 14:18:02     -104.576808        0.1815
BFGS:    6 14:21:48     -104.578556        0.1740
BFGS:    7 14:29:25     -104.586301        0.1719
BFGS:    8 14:36:46     -104.589483        0.1984
BFGS:    9 14:41:09     -104.590778        0.1225
BFGS:   10 14:46:00     -104.591914        0.0638
BFGS:   11 14:50:23     -104.592603        0.1029
BFGS:   12 14:55:02     -104.593244        0.1068
BFGS:   13 14:59:06     -104.593712        0.0670
BFGS:   14 15:02:24     -104.593946        0.0360
BFGS:   15 15:05:56     -104.594116        0.0520
BFGS:   16 15:09:53     -104.594210        0.0559
BFGS:   17 15:13:31     -104.594454        0.0370
BFGS:   18 15:17:34     -104.594567        0.0203
BFGS:   19 15:21:25     -104.594525        0.0382
BFGS:   20 15:24:11     -104.594597        0.0292
BFGS:   21 15:27:30     -104.594701        0.0158
BFGS:   22 15:31:14     -104.594776        0.0141
BFGS:   23 15:33:48     -104.594795        0.0148
BFGS:   24 15:37:08     -104.594788        0.0159
BFGS:   25 15:40:32     -104.594786        0.0166
BFGS:   26 15:43:06     -104.594810        0.0134
BFGS:   27 15:46:25     -104.594847        0.0110
BFGS:   28 15:50:35     -104.594845        0.0142
BFGS:   29 15:52:39     -104.594944        0.0091
