      Step     Time          Energy          fmax
BFGS:    0 14:21:08  -378498.107698        3.541265
BFGS:    1 15:02:46  -378498.195756        3.381214
BFGS:    2 15:44:24  -378498.288335       20.578010
BFGS:    3 16:26:50  -378498.315742        2.902702
BFGS:    4 17:08:39  -378498.387551        2.347269
BFGS:    5 17:51:48  -378498.658895        6.078786
BFGS:    6 18:34:35  -378498.669180        1.579767
BFGS:    7 19:17:26  -378498.799281        2.041261
BFGS:    8 20:00:39  -378499.158136        2.395489
BFGS:    9 20:43:32  -378499.466877        3.279717
BFGS:   10 21:26:34  -378499.601059        2.013412
BFGS:   11 22:09:00  -378499.781354        2.063649
BFGS:   12 22:52:06  -378499.836756        1.863922
BFGS:   13 23:35:00  -378499.781940        1.287305
BFGS:   14 00:18:10  -378499.914091        0.904228
BFGS:   15 01:01:59  -378499.937072        0.763839
BFGS:   16 01:46:26  -378499.973443        0.620864
BFGS:   17 02:30:45  -378499.989042        0.598656
BFGS:   18 03:15:11  -378500.003899        0.591088
BFGS:   19 04:00:58  -378500.006154        0.789951
BFGS:   20 04:47:18  -378500.004066        0.684289
BFGS:   21 05:34:01  -378500.023149        0.853583
BFGS:   22 06:20:36  -378500.069004        0.970904
BFGS:   23 07:07:57  -378500.136640        0.842417
BFGS:   24 07:55:39  -378500.213261        0.807732
BFGS:   25 08:44:20  -378500.308026        0.715872
BFGS:   26 09:34:08  -378500.347775        1.130392
BFGS:   27 10:25:32  -378500.434738        0.750137
BFGS:   28 11:17:37  -378500.447672        0.572852
BFGS:   29 12:09:51  -378500.483418        0.736871
BFGS:   30 13:03:16  -378500.500814        0.714303
BFGS:   31 13:57:15  -378500.529264        0.390896
BFGS:   32 14:52:04  -378500.535975        0.378331
BFGS:   33 15:47:12  -378500.547883        0.399065
BFGS:   34 16:43:35  -378500.556247        0.343359
BFGS:   35 17:40:54  -378500.563057        0.232287
BFGS:   36 18:40:07  -378500.569733        0.265909
BFGS:   37 19:39:40  -378500.578619        0.278514
BFGS:   38 20:40:22  -378500.588468        0.287628
BFGS:   39 21:42:52  -378500.598122        0.255150
BFGS:   40 22:47:53  -378500.576034        1.095954
BFGS:   41 23:54:42  -378500.336106        1.188755
BFGS:   42 01:04:10  -378500.531861        1.057359
BFGS:   43 02:15:07  -378500.547476        1.046230
BFGS:   44 03:27:18  -378500.562503        1.055513
BFGS:   45 04:41:47  -378500.599333        0.695281
BFGS:   46 05:59:10  -378500.613276        0.483570
BFGS:   47 07:20:16  -378500.616815        0.415471
BFGS:   48 08:45:12  -378500.619955        0.423116
BFGS:   49 10:14:12  -378500.630306        0.368029
BFGS:   50 11:46:22  -378500.640081        0.262817
BFGS:   51 13:22:46  -378500.650893        0.224437
      Step     Time          Energy          fmax
BFGS:    0 12:59:38  -378497.897398        4.933500
BFGS:    1 13:42:48  -378498.046557        4.151629
BFGS:    2 14:25:48  -378498.256384        8.151986
BFGS:    3 15:09:17  -378498.472155        4.128361
BFGS:    4 15:52:36  -378498.790096        3.662880
BFGS:    5 16:36:17  -378499.458860        4.776224
BFGS:    6 17:19:26  -378499.795067        3.326322
BFGS:    7 18:02:12  -378499.836544        3.614470
BFGS:    8 18:45:17  -378500.025957        1.545115
BFGS:    9 19:28:25  -378500.129137        2.316282
BFGS:   10 20:12:07  -378500.223495        1.983957
BFGS:   11 20:55:32  -378500.267660        1.316523
BFGS:   12 21:39:00  -378500.305165        0.887729
BFGS:   13 22:22:47  -378500.331021        1.020780
BFGS:   14 23:06:37  -378500.366587        0.701992
BFGS:   15 23:50:53  -378500.384537        0.656361
BFGS:   16 00:35:37  -378500.396299        0.661241
BFGS:   17 01:21:35  -378500.403482        0.610604
BFGS:   18 02:07:57  -378500.410648        0.414167
BFGS:   19 02:53:59  -378500.415602        0.300050
BFGS:   20 03:40:30  -378500.420622        0.308630
BFGS:   21 04:27:53  -378500.427050        0.315823
BFGS:   22 05:15:38  -378500.434774        0.281608
BFGS:   23 06:03:36  -378500.442738        0.360839
BFGS:   24 06:51:56  -378500.450212        0.401700
BFGS:   25 07:41:42  -378500.456081        0.395477
BFGS:   26 08:32:08  -378500.463492        0.332848
BFGS:   27 09:23:35  -378500.472872        0.314519
BFGS:   28 10:16:02  -378500.482952        0.261089
