## SLURM PROLOG ###############################################################
##    Job ID : 14713555
##  Job Name : test
##  Nodelist : node1816
##      CPUs : 48
##  Mem/Node : 98304 MB
## Directory : /oscar/scratch/kbadger1/SaddleClimb/examples/CH_C_to_C_CH/minimizations/final
##   Job Started : Thu Dec  4 08:59:21 PM EST 2025
###############################################################################
      Step     Time          Energy          fmax
BFGS:    0 21:05:51  -378147.532870        5.283067
BFGS:    1 21:11:46  -378147.989347        1.995590
BFGS:    2 21:17:53  -378148.144079        1.103864
BFGS:    3 21:24:19  -378148.239204        0.750872
BFGS:    4 21:30:09  -378148.281853        0.580033
BFGS:    5 21:36:02  -378148.309666        0.429999
BFGS:    6 21:42:03  -378148.334940        0.498037
BFGS:    7 21:48:26  -378148.354994        0.424662
BFGS:    8 21:54:28  -378148.365032        0.232136
BFGS:    9 22:00:28  -378148.372058        0.293701
BFGS:   10 22:06:22  -378148.379794        0.391965
BFGS:   11 22:12:20  -378148.385016        0.306453
BFGS:   12 22:18:18  -378148.388541        0.172845
BFGS:   13 22:24:35  -378148.390362        0.135848
BFGS:   14 22:30:31  -378148.391776        0.106370
BFGS:   15 22:36:29  -378148.392926        0.092344
BFGS:   16 22:42:24  -378148.393929        0.084453
BFGS:   17 22:48:19  -378148.394856        0.096061
BFGS:   18 22:54:22  -378148.395635        0.094066
BFGS:   19 23:00:17  -378148.396299        0.072970
BFGS:   20 23:06:16  -378148.396983        0.069043
BFGS:   21 23:12:12  -378148.397687        0.085139
BFGS:   22 23:18:07  -378148.398341        0.094955
BFGS:   23 23:24:04  -378148.398862        0.059041
BFGS:   24 23:30:32  -378148.399207        0.042870
BFGS:   25 23:36:27  -378148.399516        0.056456
BFGS:   26 23:42:31  -378148.399832        0.065066
BFGS:   27 23:48:48  -378148.400069        0.040993
BFGS:   28 23:54:39  -378148.400216        0.025198
BFGS:   29 00:00:31  -378148.400327        0.027882
BFGS:   30 00:06:47  -378148.400439        0.041587
BFGS:   31 00:12:48  -378148.400553        0.035296
BFGS:   32 00:19:04  -378148.400646        0.024059
BFGS:   33 00:24:58  -378148.400718        0.018373
BFGS:   34 00:30:50  -378148.400780        0.023037
BFGS:   35 00:37:05  -378148.400834        0.021075
BFGS:   36 00:42:57  -378148.400881        0.021299
BFGS:   37 00:49:11  -378148.400925        0.018101
BFGS:   38 00:55:20  -378148.400969        0.019453
BFGS:   39 01:01:11  -378148.401020        0.017831
BFGS:   40 01:07:05  -378148.401074        0.020618
BFGS:   41 01:12:59  -378148.401130        0.020679
BFGS:   42 01:19:14  -378148.401184        0.020651
BFGS:   43 01:25:28  -378148.401230        0.019979
BFGS:   44 01:31:21  -378148.401272        0.017381
BFGS:   45 01:37:34  -378148.401308        0.018477
BFGS:   46 01:43:42  -378148.401339        0.020326
BFGS:   47 01:49:36  -378148.401364        0.022807
BFGS:   48 01:55:30  -378148.401386        0.015725
BFGS:   49 02:01:21  -378148.401406        0.010731
BFGS:   50 02:07:11  -378148.401425        0.014261
BFGS:   51 02:13:07  -378148.401442        0.012135
BFGS:   52 02:19:29  -378148.401456        0.012867
BFGS:   53 02:25:46  -378148.401443        0.012671
BFGS:   54 02:31:59  -378148.401448        0.008640
BFGS:   55 02:37:53  -378148.401473        0.008485
BFGS:   56 02:44:08  -378148.401475        0.006179
BFGS:   57 02:50:10  -378148.401477        0.005063
BFGS:   58 02:56:07  -378148.401479        0.005321
BFGS:   59 03:02:04  -378148.401479        0.003085
BFGS:   60 03:07:59  -378148.401479        0.002439
BFGS:   61 03:13:56  -378148.401478        0.003542
BFGS:   62 03:20:09  -378148.401477        0.002947
BFGS:   63 03:26:01  -378148.401477        0.001946
BFGS:   64 03:32:11  -378148.401477        0.001123
BFGS:   65 03:38:27  -378148.401477        0.001551
BFGS:   66 03:44:20  -378148.401477        0.002012
BFGS:   67 03:50:25  -378148.401476        0.001324
BFGS:   68 03:56:16  -378148.401476        0.000492
