      Step     Time          Energy          fmax
BFGS:    0 15:44:22  -377889.732754        0.551430
BFGS:    1 16:23:44  -377889.726675        0.543868
BFGS:    2 17:03:12  -377889.679442        0.477865
BFGS:    3 17:42:48  -377889.665841        0.146166
BFGS:    4 18:22:31  -377889.664505        0.121420
BFGS:    5 19:01:36  -377889.665189        0.097996
BFGS:    6 19:40:49  -377889.666233        0.120415
BFGS:    7 20:19:44  -377889.666251        0.099505
BFGS:    8 20:58:42  -377889.666310        0.082123
BFGS:    9 21:38:12  -377889.666730        0.093472
BFGS:   10 22:17:41  -377889.667184        0.087418
BFGS:   11 22:57:23  -377889.667230        0.079667
BFGS:   12 23:36:50  -377889.667433        0.055211
BFGS:   13 00:16:52  -377889.667918        0.069706
BFGS:   14 00:56:55  -377889.668159        0.093154
BFGS:   15 01:36:54  -377889.667842        0.108056
BFGS:   16 02:16:38  -377889.667580        0.105550
BFGS:   17 02:56:29  -377889.668049        0.068743
BFGS:   18 03:36:32  -377889.668229        0.052068
BFGS:   19 04:16:26  -377889.667574        0.072102
BFGS:   20 04:56:35  -377889.667804        0.045801
BFGS:   21 05:36:56  -377889.668297        0.058251
BFGS:   22 06:17:15  -377889.668036        0.055017
BFGS:   23 06:57:53  -377889.668184        0.052105
BFGS:   24 07:38:48  -377889.668173        0.033331
BFGS:   25 08:20:06  -377889.668165        0.032470
BFGS:   26 09:01:30  -377889.668135        0.020837
BFGS:   27 09:43:45  -377889.668136        0.022244
BFGS:   28 10:26:22  -377889.668137        0.021896
BFGS:   29 11:09:30  -377889.668042        0.029365
BFGS:   30 11:52:12  -377889.667988        0.029111
BFGS:   31 12:35:47  -377889.668015        0.025054
BFGS:   32 13:20:01  -377889.668086        0.025273
BFGS:   33 14:03:32  -377889.668313        0.031309
BFGS:   34 14:47:40  -377889.668396        0.031671
BFGS:   35 15:31:54  -377889.668381        0.027153
BFGS:   36 16:16:31  -377889.668392        0.022463
BFGS:   37 17:01:43  -377889.668473        0.031174
BFGS:   38 17:47:59  -377889.668549        0.051784
BFGS:   39 18:34:46  -377889.668568        0.062265
BFGS:   40 19:21:21  -377889.668523        0.046813
BFGS:   41 20:08:05  -377889.668535        0.031336
BFGS:   42 20:55:16  -377889.668653        0.033916
BFGS:   43 21:43:09  -377889.668699        0.035703
BFGS:   44 22:31:44  -377889.668502        0.030718
BFGS:   45 23:20:50  -377889.668411        0.031800
BFGS:   46 00:10:34  -377889.668408        0.060161
BFGS:   47 01:00:46  -377889.668504        0.039164
BFGS:   48 01:51:10  -377889.668607        0.061114
BFGS:   49 02:42:07  -377889.668730        0.064279
BFGS:   50 03:33:22  -377889.668622        0.028682
BFGS:   51 04:25:39  -377889.668695        0.013999
BFGS:   52 05:19:07  -377889.668737        0.012380
BFGS:   53 06:12:46  -377889.668751        0.012592
BFGS:   54 07:06:50  -377889.668820        0.013775
BFGS:   55 08:02:07  -377889.668822        0.013892
BFGS:   56 08:58:17  -377889.668806        0.018829
BFGS:   57 09:55:14  -377889.668817        0.014370
BFGS:   58 10:53:37  -377889.668822        0.014289
BFGS:   59 11:52:40  -377889.668831        0.012705
BFGS:   60 12:52:49  -377889.668840        0.013142
BFGS:   61 13:54:04  -377889.668826        0.009933
