      Step     Time          Energy          fmax
BFGS:    0 22:05:42  -377889.642838        0.027811
BFGS:    1 22:53:30  -377889.642842        0.025499
BFGS:    2 23:42:02  -377889.642856        0.026531
BFGS:    3 00:29:57  -377889.642861        0.023968
BFGS:    4 01:18:21  -377889.642883        0.014999
BFGS:    5 02:06:49  -377889.642890        0.016057
BFGS:    6 02:54:55  -377889.642898        0.016648
BFGS:    7 03:42:52  -377889.642906        0.015994
BFGS:    8 04:30:55  -377889.642915        0.021171
BFGS:    9 05:19:10  -377889.642923        0.032850
BFGS:   10 06:07:07  -377889.642936        0.040582
BFGS:   11 06:55:13  -377889.642953        0.030468
BFGS:   12 07:43:26  -377889.642967        0.017521
BFGS:   13 08:31:49  -377889.642974        0.016384
BFGS:   14 09:20:02  -377889.642980        0.023576
BFGS:   15 10:08:26  -377889.642991        0.019648
BFGS:   16 10:57:28  -377889.643004        0.019562
BFGS:   17 11:46:22  -377889.643015        0.018235
BFGS:   18 12:35:22  -377889.643026        0.026544
BFGS:   19 13:24:17  -377889.643040        0.028391
BFGS:   20 14:13:04  -377889.643057        0.019471
BFGS:   21 15:02:29  -377889.643071        0.018231
BFGS:   22 15:52:09  -377889.643081        0.028801
BFGS:   23 16:42:02  -377889.643090        0.025323
BFGS:   24 17:32:20  -377889.643099        0.014022
BFGS:   25 18:23:09  -377889.643105        0.011966
BFGS:   26 19:14:00  -377889.643109        0.018341
BFGS:   27 20:05:23  -377889.643112        0.019418
BFGS:   28 20:57:14  -377889.643116        0.010746
BFGS:   29 21:49:38  -377889.643119        0.009052
