      Step     Time          Energy          fmax
BFGS:    0 20:46:41  -377889.397800        2.889891
BFGS:    1 21:25:38  -377889.460147        2.024383
BFGS:    2 22:06:00  -377889.634336        4.068061
BFGS:    3 22:46:07  -377889.640445        1.057860
BFGS:    4 23:25:55  -377889.684784        0.729876
BFGS:    5 00:05:32  -377889.712384        1.021848
BFGS:    6 00:45:23  -377889.715945        0.669750
BFGS:    7 01:25:01  -377889.722648        0.475113
BFGS:    8 02:04:35  -377889.724615        0.545902
BFGS:    9 02:44:48  -377889.726034        0.336896
BFGS:   10 03:24:45  -377889.727615        0.282567
BFGS:   11 04:04:55  -377889.730056        0.206750
BFGS:   12 04:44:52  -377889.731573        0.239895
BFGS:   13 05:24:57  -377889.732719        0.277794
BFGS:   14 06:05:45  -377889.734051        0.264656
BFGS:   15 06:46:06  -377889.736185        0.233277
BFGS:   16 07:26:45  -377889.738382        0.213750
BFGS:   17 08:07:23  -377889.739734        0.260914
BFGS:   18 08:48:12  -377889.740151        0.247821
BFGS:   19 09:29:04  -377889.740642        0.189808
BFGS:   20 10:10:00  -377889.741764        0.183356
BFGS:   21 10:50:33  -377889.742812        0.245418
BFGS:   22 11:31:18  -377889.743173        0.201872
BFGS:   23 12:12:53  -377889.743153        0.162249
BFGS:   24 12:54:39  -377889.743352        0.155951
BFGS:   25 13:37:03  -377889.743877        0.165455
BFGS:   26 14:19:59  -377889.744285        0.159357
BFGS:   27 15:03:01  -377889.744355        0.109391
BFGS:   28 15:46:22  -377889.744311        0.098903
BFGS:   29 16:29:44  -377889.744327        0.095159
BFGS:   30 17:13:41  -377889.744325        0.080360
BFGS:   31 17:57:41  -377889.744192        0.063591
BFGS:   32 18:41:54  -377889.743997        0.049118
BFGS:   33 19:27:03  -377889.743816        0.048766
BFGS:   34 20:11:53  -377889.743601        0.047402
BFGS:   35 20:57:21  -377889.743287        0.048908
BFGS:   36 21:43:10  -377889.742896        0.042854
BFGS:   37 22:28:45  -377889.742531        0.051360
BFGS:   38 23:15:18  -377889.742272        0.056989
BFGS:   39 00:02:05  -377889.742113        0.072119
BFGS:   40 00:49:22  -377889.741978        0.055743
BFGS:   41 01:37:26  -377889.741797        0.039849
BFGS:   42 02:25:00  -377889.741495        0.038603
BFGS:   43 03:13:28  -377889.741091        0.035117
BFGS:   44 04:02:20  -377889.740765        0.030304
BFGS:   45 04:51:55  -377889.740501        0.020963
BFGS:   46 05:42:16  -377889.740474        0.023382
BFGS:   47 06:32:46  -377889.740514        0.027219
BFGS:   48 07:24:39  -377889.740440        0.021398
BFGS:   49 08:16:51  -377889.740078        0.021624
BFGS:   50 09:09:12  -377889.739377        0.029229
BFGS:   51 10:02:56  -377889.738180        0.039284
BFGS:   52 10:57:17  -377889.737296        0.032227
BFGS:   53 11:51:25  -377889.736626        0.034063
BFGS:   54 12:46:57  -377889.736610        0.043548
BFGS:   55 13:42:44  -377889.736897        0.037949
BFGS:   56 14:40:23  -377889.736960        0.028195
BFGS:   57 15:38:25  -377889.736551        0.020237
BFGS:   58 16:37:26  -377889.735650        0.034544
BFGS:   59 17:37:48  -377889.734128        0.035267
BFGS:   60 18:38:58  -377889.733112        0.031219
BFGS:   61 19:40:49  -377889.732754        0.025931
