Iteration           Energy (eV)         Fmax (eV/A)         Climbing Direction
0                   -377891.151178      0.007612            forward
1                   -377891.143919      0.174095            forward
2                   -377891.132964      0.263645            forward
3                   -377891.120068      0.343971            forward
4                   -377891.109276      0.392136            forward
5                   -377891.107901      0.374003            forward
6                   -377891.107076      0.354005            forward
7                   -377891.100603      0.328396            forward
8                   -377891.089727      0.307685            forward
9                   -377891.075459      0.311331            forward
10                  -377891.060636      0.320243            forward
11                  -377891.047101      0.336656            forward
12                  -377891.035184      0.367273            forward
13                  -377891.025789      0.389438            forward
14                  -377891.02334       0.399221            forward
15                  -377891.0142        0.48567             forward
16                  -377890.99985       0.489313            forward
17                  -377890.98077       0.529525            forward
18                  -377890.946506      0.598162            forward
19                  -377890.884325      0.712583            forward
20                  -377890.806827      0.795884            forward
21                  -377890.70705       0.825756            forward
22                  -377890.599176      1.02859             forward
23                  -377890.494259      0.922462            forward
24                  -377890.372001      1.152272            forward
25                  -377890.242386      1.05945             forward
26                  -377890.102519      1.190273            forward
27                  -377889.945595      1.229103            forward
28                  -377889.788291      1.214696            forward
29                  -377889.626807      1.300002            forward
30                  -377889.593461      2.424729            forward
31                  -377889.519411      1.917664            forward
32                  -377889.372436      1.347144            forward
33                  -377889.196379      1.190359            forward
34                  -377889.215115      2.159869            forward
35                  -377889.187185      2.462579            forward
36                  -377889.219157      2.408252            forward
37                  -377889.18309       2.002477            forward
38                  -377889.244554      1.37286             forward
39                  -377889.224928      1.518304            forward
40                  -377889.104225      2.194984            forward
41                  -377889.186615      1.177401            forward
42                  -377889.305087      0.671466            forward
43                  -377889.278365      0.99859             reverse
44                  -377889.384841      0.74382             reverse
45                  -377889.461608      0.505469            reverse
46                  -377889.524203      0.334642            forward
47                  -377889.500392      0.429034            reverse
48                  -377889.547056      0.337382            reverse
49                  -377889.591363      0.205667            forward
50                  -377889.605087      0.322003            reverse
51                  -377889.618909      0.288383            reverse
52                  -377889.637599      0.183919            forward
53                  -377889.656401      0.360659            reverse
54                  -377889.65324       0.27634             reverse
55                  -377889.65774       0.141598            reverse
56                  -377889.662727      0.112428            reverse
57                  -377889.664391      0.081182            reverse
58                  -377889.665104      0.059138            reverse
59                  -377889.713524      0.673309            forward
60                  -377889.675677      0.297396            forward
61                  -377889.667447      0.120724            forward
62                  -377889.667122      0.06731             forward
63                  -377889.667379      0.057002            forward
64                  -377889.668003      0.030567            forward
65                  -377889.668243      0.027895            forward
66                  -377889.668449      0.020436            forward
67                  -377889.668556      0.01181             forward
68                  -377889.668622      0.012736            forward
69                  -377889.668671      0.012819            forward
70                  -377889.668714      0.008624            forward
