## SLURM PROLOG ###############################################################
##    Job ID : 13675454
##  Job Name : test
##  Nodelist : node1939
##      CPUs : 48
##  Mem/Node : 98304 MB
## Directory : /oscar/scratch/kbadger1/SaddleClimb/examples/CH_to_C_H/minimizations/init
##   Job Started : Fri Oct 31 06:39:49 PM EDT 2025
###############################################################################
      Step     Time          Energy          fmax
BFGS:    0 18:45:34  -377891.053408        0.093509
BFGS:    1 18:51:10  -377891.053999        0.080811
BFGS:    2 18:56:58  -377891.055776        0.053222
BFGS:    3 19:02:36  -377891.055961        0.035770
BFGS:    4 19:08:11  -377891.056395        0.054726
BFGS:    5 19:13:46  -377891.056617        0.057562
BFGS:    6 19:19:18  -377891.056752        0.034417
BFGS:    7 19:25:00  -377891.056815        0.026862
BFGS:    8 19:30:36  -377891.056893        0.048492
BFGS:    9 19:36:20  -377891.056978        0.058993
BFGS:   10 19:41:58  -377891.057044        0.042338
BFGS:   11 19:47:35  -377891.057082        0.015533
BFGS:   12 19:53:12  -377891.057102        0.015020
BFGS:   13 19:58:45  -377891.057121        0.010356
BFGS:   14 20:04:20  -377891.057129        0.006064
BFGS:   15 20:09:55  -377891.057133        0.004647
BFGS:   16 20:15:28  -377891.057133        0.005403
BFGS:   17 20:21:10  -377891.057134        0.006149
BFGS:   18 20:26:46  -377891.057137        0.007136
BFGS:   19 20:32:23  -377891.057144        0.008976
BFGS:   20 20:37:58  -377891.057158        0.007880
BFGS:   21 20:43:35  -377891.057167        0.006741
BFGS:   22 20:49:05  -377891.057174        0.005750
BFGS:   23 20:54:35  -377891.057177        0.004059
BFGS:   24 21:00:06  -377891.057183        0.008291
BFGS:   25 21:05:37  -377891.057186        0.010370
BFGS:   26 21:11:09  -377891.057193        0.008922
BFGS:   27 21:16:40  -377891.057198        0.005515
BFGS:   28 21:22:20  -377891.057204        0.006718
BFGS:   29 21:27:58  -377891.057217        0.008782
BFGS:   30 21:33:31  -377891.057242        0.010145
BFGS:   31 21:39:08  -377891.057253        0.006677
BFGS:   32 21:44:48  -377891.057257        0.004949
BFGS:   33 21:50:23  -377891.057256        0.006607
BFGS:   34 21:55:59  -377891.057255        0.006572
BFGS:   35 22:01:35  -377891.057255        0.004460
BFGS:   36 22:07:07  -377891.057258        0.003357
BFGS:   37 22:12:38  -377891.057261        0.004072
BFGS:   38 22:18:13  -377891.057266        0.005232
BFGS:   39 22:23:48  -377891.057271        0.004843
BFGS:   40 22:29:20  -377891.057273        0.002903
BFGS:   41 22:34:51  -377891.057270        0.001807
BFGS:   42 22:40:21  -377891.057265        0.001822
BFGS:   43 22:45:52  -377891.057264        0.001544
BFGS:   44 22:51:25  -377891.057261        0.001528
BFGS:   45 22:57:02  -377891.057263        0.001262
BFGS:   46 23:02:38  -377891.057267        0.000734
