Iteration           Energy (eV)         Fmax (eV/A)         
0                   6.510282            0.000876            
1                   6.513686            0.079136            
2                   6.534832            0.311122            
3                   6.555399            0.410334            
4                   6.560923            0.27948             
5                   6.558481            0.114233            
6                   6.557748            0.072165            
7                   6.556586            0.034103            
8                   6.556031            0.033624            
9                   6.555669            0.016579            
10                  6.555604            0.010177            
11                  6.555564            0.007318            
