      Step     Time          Energy          fmax
BFGS:    0 11:03:22  -378226.616072        0.053237
BFGS:    1 11:59:25  -378226.616209        0.047505
BFGS:    2 12:54:57  -378226.616499        0.047971
BFGS:    3 13:51:35  -378226.616541        0.051143
BFGS:    4 14:47:23  -378226.616585        0.055467
BFGS:    5 15:43:02  -378226.616642        0.052073
BFGS:    6 16:38:36  -378226.616724        0.066549
BFGS:    7 17:33:23  -378226.616767        0.080550
BFGS:    8 18:28:38  -378226.616807        0.083434
BFGS:    9 19:23:59  -378226.616948        0.066448
BFGS:   10 20:19:39  -378226.617145        0.060271
BFGS:   11 21:15:21  -378226.617266        0.053394
BFGS:   12 22:11:49  -378226.617335        0.071968
BFGS:   13 23:08:04  -378226.617512        0.067195
BFGS:   14 00:03:49  -378226.617781        0.050922
BFGS:   15 00:58:51  -378226.617963        0.053810
BFGS:   16 01:54:12  -378226.618033        0.058063
BFGS:   17 02:51:17  -378226.618127        0.065361
BFGS:   18 03:47:23  -378226.618401        0.059855
BFGS:   19 04:43:43  -378226.618863        0.061657
BFGS:   20 05:39:24  -378226.619367        0.061804
BFGS:   21 06:34:53  -378226.619812        0.046668
BFGS:   22 07:30:53  -378226.620803        0.073680
BFGS:   23 08:28:22  -378226.620691        0.099793
BFGS:   24 09:25:03  -378226.621137        0.105585
BFGS:   25 10:22:22  -378226.622914        0.100812
BFGS:   26 11:20:29  -378226.622429        0.042476
BFGS:   27 12:19:30  -378226.622566        0.041095
BFGS:   28 13:18:19  -378226.623263        0.055723
BFGS:   29 14:17:09  -378226.624118        0.053640
BFGS:   30 15:18:06  -378226.624883        0.042544
BFGS:   31 16:19:13  -378226.625650        0.041897
BFGS:   32 17:20:12  -378226.626030        0.036746
BFGS:   33 18:21:41  -378226.626843        0.037187
BFGS:   34 19:22:51  -378226.627127        0.036483
BFGS:   35 20:24:15  -378226.627840        0.040663
BFGS:   36 21:25:31  -378226.627898        0.034730
BFGS:   37 22:27:53  -378226.628508        0.044067
BFGS:   38 23:31:52  -378226.628749        0.038388
BFGS:   39 00:34:26  -378226.629255        0.037431
BFGS:   40 01:37:36  -378226.629696        0.030805
BFGS:   41 02:42:21  -378226.630372        0.028807
BFGS:   42 03:46:42  -378226.631155        0.023305
BFGS:   43 04:53:31  -378226.632136        0.025285
BFGS:   44 06:01:37  -378226.632821        0.029680
BFGS:   45 07:08:53  -378226.633803        0.025949
BFGS:   46 08:17:49  -378226.633816        0.026718
BFGS:   47 09:27:13  -378226.634823        0.034377
