## SLURM PROLOG ###############################################################
##    Job ID : 8593782
##  Job Name : test
##  Nodelist : node2350
##      CPUs : 48
##  Mem/Node : 98304 MB
## Directory : /oscar/scratch/kbadger1/SaddleClimb/examples/H2O_to_OH_H/minimizations/init
##   Job Started : Sun Feb 23 07:08:02 PM EST 2025
###############################################################################
      Step     Time          Energy          fmax
BFGS:    0 19:13:37  -378227.375247        0.966834
BFGS:    1 19:19:04  -378227.407574        0.768459
BFGS:    2 19:24:27  -378227.467464        0.707786
BFGS:    3 19:30:05  -378227.504225        0.585554
BFGS:    4 19:35:46  -378227.523406        0.452316
BFGS:    5 19:41:34  -378227.541282        0.501508
BFGS:    6 19:47:20  -378227.563880        0.529599
BFGS:    7 19:52:44  -378227.589263        0.386173
BFGS:    8 19:58:04  -378227.607128        0.462196
BFGS:    9 20:03:44  -378227.623763        0.447626
BFGS:   10 20:09:26  -378227.642828        0.488262
BFGS:   11 20:15:04  -378227.655831        0.393475
BFGS:   12 20:20:42  -378227.664813        0.293075
BFGS:   13 20:26:15  -378227.671134        0.147254
BFGS:   14 20:31:51  -378227.676818        0.207064
BFGS:   15 20:37:28  -378227.682148        0.246635
BFGS:   16 20:43:08  -378227.686395        0.210010
BFGS:   17 20:48:43  -378227.690034        0.241336
BFGS:   18 20:54:37  -378227.692881        0.159465
BFGS:   19 21:00:30  -378227.695455        0.096297
BFGS:   20 21:06:24  -378227.696766        0.118554
BFGS:   21 21:12:10  -378227.697864        0.121304
BFGS:   22 21:17:55  -378227.700025        0.115916
BFGS:   23 21:23:54  -378227.702631        0.107104
BFGS:   24 21:29:49  -378227.705229        0.113096
BFGS:   25 21:35:45  -378227.706235        0.085399
BFGS:   26 21:41:41  -378227.707385        0.064421
BFGS:   27 21:47:35  -378227.708022        0.055669
BFGS:   28 21:53:34  -378227.709056        0.076367
BFGS:   29 21:59:32  -378227.709717        0.073440
BFGS:   30 22:05:30  -378227.710251        0.058066
BFGS:   31 22:11:27  -378227.710796        0.055134
BFGS:   32 22:17:25  -378227.711488        0.052065
BFGS:   33 22:23:14  -378227.712038        0.060422
BFGS:   34 22:29:09  -378227.712397        0.049727
BFGS:   35 22:35:02  -378227.712658        0.045689
BFGS:   36 22:40:57  -378227.712995        0.050715
BFGS:   37 22:46:56  -378227.713374        0.040857
BFGS:   38 22:52:48  -378227.713649        0.028278
BFGS:   39 22:58:43  -378227.713770        0.024899
BFGS:   40 23:04:42  -378227.713863        0.024672
BFGS:   41 23:10:43  -378227.714021        0.031962
BFGS:   42 23:16:41  -378227.714232        0.042962
BFGS:   43 23:22:34  -378227.714443        0.038440
BFGS:   44 23:28:29  -378227.714608        0.036142
BFGS:   45 23:34:24  -378227.714771        0.030280
BFGS:   46 23:40:23  -378227.715011        0.030587
BFGS:   47 23:46:22  -378227.715296        0.042614
BFGS:   48 23:52:21  -378227.715530        0.032653
BFGS:   49 23:58:16  -378227.715719        0.038619
BFGS:   50 00:04:12  -378227.715935        0.038043
BFGS:   51 00:10:13  -378227.716264        0.039279
BFGS:   52 00:16:13  -378227.716675        0.071438
BFGS:   53 00:22:05  -378227.717006        0.039800
BFGS:   54 00:28:08  -378227.717253        0.041359
BFGS:   55 00:34:04  -378227.717481        0.041258
BFGS:   56 00:40:10  -378227.717725        0.041663
BFGS:   57 00:46:06  -378227.718004        0.062026
BFGS:   58 00:52:11  -378227.718189        0.043449
BFGS:   59 00:58:07  -378227.718320        0.046408
BFGS:   60 01:04:06  -378227.718423        0.021464
BFGS:   61 01:10:01  -378227.718488        0.019932
BFGS:   62 01:16:00  -378227.718551        0.022725
BFGS:   63 01:21:58  -378227.718637        0.019180
BFGS:   64 01:27:55  -378227.718707        0.012071
BFGS:   65 01:33:54  -378227.718753        0.009636
