      Step     Time          Energy          fmax
BFGS:    0 23:06:07   -82403.046340        0.041072
BFGS:    1 01:26:05   -82403.046349        0.042721
BFGS:    2 03:44:40   -82403.046350        0.032614
BFGS:    3 06:02:33   -82403.046355        0.037371
BFGS:    4 08:20:25   -82403.046358        0.035019
BFGS:    5 10:39:48   -82403.046347        0.041692
BFGS:    6 12:59:29   -82403.046360        0.039420
BFGS:    7 15:20:43   -82403.046365        0.031797
BFGS:    8 17:42:51   -82403.046365        0.032679
BFGS:    9 20:05:32   -82403.046355        0.035071
BFGS:   10 22:25:51   -82403.046356        0.033063
BFGS:   11 00:46:11   -82403.046360        0.028605
BFGS:   12 03:08:47   -82403.046364        0.038112
BFGS:   13 05:31:57   -82403.046351        0.048613
BFGS:   14 07:57:29   -82403.046345        0.054340
BFGS:   15 10:19:24   -82403.046324        0.053469
BFGS:   16 12:44:56   -82403.046323        0.062969
BFGS:   17 15:10:22   -82403.046331        0.076225
BFGS:   18 17:38:29   -82403.046359        0.065977
BFGS:   19 20:07:24   -82403.046373        0.035481
BFGS:   20 22:38:02   -82403.046374        0.036635
BFGS:   21 01:08:13   -82403.046361        0.056256
BFGS:   22 03:39:13   -82403.046364        0.074943
BFGS:   23 06:10:40   -82403.046380        0.046782
BFGS:   24 08:45:38   -82403.046361        0.073061
BFGS:   25 11:19:45   -82403.046351        0.073592
BFGS:   26 13:58:05   -82403.046383        0.038080
BFGS:   27 16:36:57   -82403.046390        0.026187
BFGS:   28 19:18:42   -82403.046379        0.054137
