      Step     Time          Energy          fmax
BFGS:    0 13:33:32   -82403.065146        0.203695
BFGS:    1 15:50:02   -82403.064410        0.188734
BFGS:    2 18:08:53   -82403.053130        0.228462
BFGS:    3 20:27:50   -82403.049861        0.214206
BFGS:    4 22:46:00   -82403.046676        0.271032
BFGS:    5 01:04:13   -82403.045628        0.161546
BFGS:    6 03:23:47   -82403.045468        0.106801
BFGS:    7 05:42:05   -82403.045672        0.066681
BFGS:    8 08:00:10   -82403.045724        0.079881
BFGS:    9 10:18:45   -82403.045667        0.064976
BFGS:   10 12:40:46   -82403.045677        0.067961
BFGS:   11 15:04:03   -82403.045763        0.045744
BFGS:   12 17:25:21   -82403.045779        0.054730
BFGS:   13 19:46:41   -82403.045761        0.054462
BFGS:   14 22:09:42   -82403.045773        0.070787
BFGS:   15 00:34:34   -82403.045854        0.042694
BFGS:   16 02:59:20   -82403.045892        0.041959
BFGS:   17 05:24:49   -82403.045884        0.053799
BFGS:   18 07:51:45   -82403.045884        0.070168
BFGS:   19 10:19:17   -82403.045953        0.052408
BFGS:   20 12:47:59   -82403.045993        0.032592
BFGS:   21 15:17:50   -82403.045987        0.044489
BFGS:   22 17:52:16   -82403.045961        0.063888
BFGS:   23 20:26:15   -82403.046001        0.063704
BFGS:   24 23:02:47   -82403.046103        0.037576
BFGS:   25 01:40:43   -82403.046179        0.040485
BFGS:   26 04:18:47   -82403.046243        0.062145
BFGS:   27 06:59:52   -82403.046309        0.071597
BFGS:   28 09:40:17   -82403.046345        0.077424
