## SLURM PROLOG ###############################################################
##    Job ID : 14653188
##  Job Name : HXCO
##  Nodelist : node1937
##      CPUs : 48
##  Mem/Node : 98304 MB
## Directory : /oscar/scratch/kbadger1/SaddleClimb/examples/HCO_to_H_CH_Co0001/minimizations/final_2
##   Job Started : Sun Nov 30 04:08:55 PM EST 2025
###############################################################################
      Step     Time          Energy          fmax
BFGS:    0 16:26:31   -82404.218539        0.588659
BFGS:    1 16:46:43   -82404.219715        0.686303
BFGS:    2 17:04:15   -82404.223306        0.291580
BFGS:    3 17:23:04   -82404.227483        0.292311
BFGS:    4 17:41:52   -82404.238988        0.786906
BFGS:    5 17:59:04   -82404.247622        0.931605
BFGS:    6 18:19:31   -82404.253922        0.563523
BFGS:    7 18:38:53   -82404.256395        0.152710
BFGS:    8 19:00:37   -82404.257126        0.216938
BFGS:    9 19:22:29   -82404.261116        0.386745
BFGS:   10 19:41:28   -82404.263122        0.314987
BFGS:   11 20:00:14   -82404.263851        0.177070
BFGS:   12 20:20:09   -82404.264346        0.139413
BFGS:   13 20:38:44   -82404.264685        0.190747
BFGS:   14 20:58:05   -82404.265428        0.215938
BFGS:   15 21:17:36   -82404.265884        0.146086
BFGS:   16 21:37:32   -82404.266150        0.055156
BFGS:   17 21:58:04   -82404.266219        0.040410
BFGS:   18 22:18:16   -82404.266306        0.073092
BFGS:   19 22:37:35   -82404.266535        0.130084
BFGS:   20 22:57:30   -82404.266930        0.190081
BFGS:   21 23:18:48   -82404.267386        0.192394
BFGS:   22 23:40:32   -82404.268151        0.107655
BFGS:   23 00:01:21   -82404.268271        0.045430
BFGS:   24 00:21:10   -82404.268371        0.058452
BFGS:   25 00:40:24   -82404.268528        0.110784
BFGS:   26 01:00:02   -82404.268742        0.133408
BFGS:   27 01:18:48   -82404.268976        0.096022
BFGS:   28 01:39:00   -82404.269088        0.034888
BFGS:   29 01:59:40   -82404.269137        0.032267
BFGS:   30 02:21:49   -82404.269210        0.062520
BFGS:   31 02:42:12   -82404.269389        0.114096
BFGS:   32 03:02:52   -82404.269535        0.151401
BFGS:   33 03:23:30   -82404.269706        0.100026
BFGS:   34 03:43:21   -82404.269920        0.035809
BFGS:   35 04:03:06   -82404.269961        0.034151
BFGS:   36 04:23:13   -82404.270004        0.032491
BFGS:   37 04:42:11   -82404.270126        0.041157
BFGS:   38 05:02:56   -82404.270331        0.082651
BFGS:   39 05:23:47   -82404.269035        0.293692
BFGS:   40 05:44:28   -82404.270949        0.179938
BFGS:   41 06:03:57   -82404.271492        0.190515
BFGS:   42 06:23:06   -82404.275761        0.231079
BFGS:   43 06:41:51   -82404.274371        0.301560
BFGS:   44 07:00:36   -82404.219217        1.366716
BFGS:   45 07:19:46   -82404.281998        0.567156
BFGS:   46 07:39:14   -82404.284055        0.120870
BFGS:   47 07:59:11   -82404.285032        0.088225
BFGS:   48 08:18:01   -82404.285684        0.079135
BFGS:   49 08:40:00   -82404.286386        0.065892
BFGS:   50 09:02:15   -82404.287138        0.066096
BFGS:   51 09:21:39   -82404.287716        0.071333
BFGS:   52 09:42:01   -82404.288260        0.070659
BFGS:   53 10:03:45   -82404.288583        0.060583
BFGS:   54 10:24:24   -82404.288777        0.042375
BFGS:   55 10:44:37   -82404.288846        0.039535
BFGS:   56 11:04:52   -82404.288890        0.040452
BFGS:   57 11:24:17   -82404.288909        0.040328
BFGS:   58 11:44:53   -82404.288942        0.045040
BFGS:   59 12:05:57   -82404.288961        0.047798
BFGS:   60 12:26:14   -82404.289046        0.064003
BFGS:   61 12:46:25   -82404.289212        0.082044
BFGS:   62 13:07:07   -82404.289962        0.122147
BFGS:   63 13:27:22   -82404.290692        0.224028
BFGS:   64 13:46:14   -82404.293177        0.393681
BFGS:   65 14:06:32   -82404.298525        0.587723
BFGS:   66 14:24:55   -82404.312019        0.661536
BFGS:   67 14:45:38   -82404.322492        0.569096
BFGS:   68 15:05:08   -82404.329405        0.278593
BFGS:   69 15:24:11   -82404.334509        0.234596
BFGS:   70 15:44:41   -82404.341425        0.856503
BFGS:   71 16:05:14   -82404.345380        0.661233
BFGS:   72 16:24:59   -82404.353190        0.107246
BFGS:   73 16:46:15   -82404.355902        0.231846
BFGS:   74 17:08:10   -82404.357207        0.209917
BFGS:   75 17:28:56   -82404.357533        0.029260
BFGS:   76 17:50:48   -82404.357742        0.040641
BFGS:   77 18:12:13   -82404.357769        0.021861
BFGS:   78 18:31:10   -82404.357777        0.002400
BFGS:   79 18:51:19   -82404.357778        0.003118
BFGS:   80 19:11:38   -82404.357778        0.003269
BFGS:   81 19:32:17   -82404.357778        0.002361
BFGS:   82 19:51:18   -82404.357778        0.000631
