## SLURM PROLOG ###############################################################
##    Job ID : 14653075
##  Job Name : HXCO
##  Nodelist : node1941
##      CPUs : 48
##  Mem/Node : 98304 MB
## Directory : /oscar/scratch/kbadger1/SaddleClimb/examples/HCO_to_H_CH_Co0001/minimizations/init_4
##   Job Started : Sun Nov 30 04:04:55 PM EST 2025
###############################################################################
      Step     Time          Energy          fmax
BFGS:    0 16:26:13   -82403.199796        0.523155
BFGS:    1 16:47:50   -82403.204039        0.331264
BFGS:    2 17:10:34   -82403.213655        0.294311
BFGS:    3 17:32:48   -82403.217115        0.254446
BFGS:    4 17:59:24   -82403.221198        0.274276
BFGS:    5 18:21:08   -82403.224382        0.311713
BFGS:    6 18:45:21   -82403.226930        0.227727
BFGS:    7 19:09:33   -82403.228360        0.157579
BFGS:    8 19:31:46   -82403.229140        0.177352
BFGS:    9 19:54:19   -82403.230500        0.195893
BFGS:   10 20:17:52   -82403.232773        0.205020
BFGS:   11 20:39:59   -82403.235833        0.234188
BFGS:   12 21:02:14   -82403.237425        0.208566
BFGS:   13 21:23:39   -82403.238773        0.149617
BFGS:   14 21:43:25   -82403.239586        0.129805
BFGS:   15 22:04:40   -82403.240318        0.125760
BFGS:   16 22:26:05   -82403.240874        0.067628
BFGS:   17 22:48:01   -82403.241033        0.038296
BFGS:   18 23:10:03   -82403.241086        0.046087
BFGS:   19 23:31:42   -82403.241199        0.063655
BFGS:   20 23:53:40   -82403.241348        0.068778
BFGS:   21 00:16:38   -82403.241485        0.043938
BFGS:   22 00:39:32   -82403.241530        0.018892
BFGS:   23 01:02:31   -82403.241539        0.008827
BFGS:   24 01:25:35   -82403.241543        0.011317
BFGS:   25 01:49:42   -82403.241553        0.018013
BFGS:   26 02:12:19   -82403.241582        0.030513
BFGS:   27 02:35:07   -82403.241640        0.042850
BFGS:   28 02:56:17   -82403.241860        0.064278
BFGS:   29 03:16:56   -82403.240171        0.142924
BFGS:   30 03:38:59   -82403.241998        0.092521
BFGS:   31 03:59:49   -82403.236014        0.185079
BFGS:   32 04:22:54   -82403.241975        0.027326
BFGS:   33 04:43:52   -82403.241582        0.069810
BFGS:   34 05:07:16   -82403.242298        0.035998
BFGS:   35 05:29:33   -82403.242316        0.019632
BFGS:   36 05:51:33   -82403.242331        0.015098
BFGS:   37 06:13:47   -82403.242342        0.011010
BFGS:   38 06:35:46   -82403.242348        0.012371
BFGS:   39 06:57:31   -82403.242361        0.019644
BFGS:   40 07:19:19   -82403.242380        0.023967
BFGS:   41 07:40:39   -82403.242438        0.028642
BFGS:   42 08:00:48   -82403.242505        0.023167
BFGS:   43 08:23:59   -82403.242558        0.010236
BFGS:   44 08:46:03   -82403.242571        0.002895
BFGS:   45 09:08:53   -82403.242573        0.000623
