      Step     Time          Energy          fmax
BFGS:    0 15:21:44  -377632.470366        3.273201
BFGS:    1 15:58:07  -377632.575590        0.957675
BFGS:    2 16:34:04  -377632.588508        0.372369
BFGS:    3 17:10:01  -377632.592259        0.340764
BFGS:    4 17:46:03  -377632.594292        0.366385
BFGS:    5 18:21:59  -377632.595765        0.327516
BFGS:    6 18:58:18  -377632.597274        0.238247
BFGS:    7 19:34:29  -377632.598792        0.115130
BFGS:    8 20:10:18  -377632.599614        0.121071
BFGS:    9 20:46:07  -377632.599911        0.135485
BFGS:   10 21:22:27  -377632.600342        0.145893
BFGS:   11 21:58:56  -377632.601046        0.081494
BFGS:   12 22:36:05  -377632.601419        0.070110
BFGS:   13 23:12:44  -377632.601444        0.084430
BFGS:   14 23:49:37  -377632.601435        0.117350
BFGS:   15 00:26:18  -377632.601694        0.093530
BFGS:   16 01:02:50  -377632.601986        0.069879
BFGS:   17 01:39:32  -377632.602016        0.066648
BFGS:   18 02:16:08  -377632.601940        0.096071
BFGS:   19 02:52:50  -377632.602048        0.106913
BFGS:   20 03:29:41  -377632.602431        0.113832
BFGS:   21 04:07:12  -377632.602752        0.095075
BFGS:   22 04:44:57  -377632.602820        0.065377
BFGS:   23 05:22:37  -377632.602893        0.080691
BFGS:   24 06:00:32  -377632.603196        0.089812
BFGS:   25 06:39:07  -377632.603601        0.124435
BFGS:   26 07:17:47  -377632.603847        0.121604
BFGS:   27 07:56:15  -377632.603912        0.104287
BFGS:   28 08:35:15  -377632.604286        0.101881
BFGS:   29 09:14:20  -377632.605014        0.100604
BFGS:   30 09:53:35  -377632.605656        0.128378
BFGS:   31 10:32:24  -377632.605818        0.125887
BFGS:   32 11:11:35  -377632.605965        0.152204
BFGS:   33 11:51:14  -377632.606496        0.126655
BFGS:   34 12:31:05  -377632.607318        0.175489
BFGS:   35 13:11:05  -377632.607792        0.247940
BFGS:   36 13:51:36  -377632.607930        0.240216
BFGS:   37 14:32:32  -377632.608948        0.220106
BFGS:   38 15:14:05  -377632.610638        0.139675
BFGS:   39 15:55:22  -377632.612011        0.155756
BFGS:   40 16:37:12  -377632.612486        0.215223
BFGS:   41 17:20:05  -377632.613134        0.240152
BFGS:   42 18:03:40  -377632.615156        0.193616
BFGS:   43 18:48:01  -377632.617724        0.115766
BFGS:   44 19:32:42  -377632.618945        0.135210
BFGS:   45 20:17:51  -377632.619709        0.207965
BFGS:   46 21:03:18  -377632.620518        0.261891
BFGS:   47 21:49:21  -377632.623789        0.175577
BFGS:   48 22:35:46  -377632.624539        0.171922
BFGS:   49 23:22:39  -377632.625232        0.171285
BFGS:   50 00:09:24  -377632.625351        0.220777
BFGS:   51 00:56:43  -377632.626634        0.223423
BFGS:   52 01:45:08  -377632.628196        0.173098
BFGS:   53 02:33:53  -377632.628754        0.141105
BFGS:   54 03:23:53  -377632.628194        0.170688
BFGS:   55 04:14:37  -377632.628213        0.215007
BFGS:   56 05:05:14  -377632.628993        0.210570
BFGS:   57 05:57:08  -377632.630361        0.157134
BFGS:   58 06:49:10  -377632.630205        0.118744
BFGS:   59 07:42:09  -377632.630375        0.165808
BFGS:   60 08:36:43  -377632.630971        0.246944
BFGS:   61 09:31:54  -377632.632285        0.197284
BFGS:   62 10:28:18  -377632.632856        0.116849
BFGS:   63 11:26:07  -377632.632753        0.098732
BFGS:   64 12:25:22  -377632.632806        0.148312
BFGS:   65 13:25:26  -377632.632828        0.161054
BFGS:   66 14:26:45  -377632.632677        0.158918
