      Step     Time          Energy          fmax
BFGS:    0 23:36:22  -377632.630440        0.029421
BFGS:    1 00:12:38  -377632.630430        0.028743
BFGS:    2 00:49:44  -377632.630304        0.030413
BFGS:    3 01:26:08  -377632.630282        0.028737
BFGS:    4 02:03:14  -377632.629864        0.049616
BFGS:    5 02:39:54  -377632.630114        0.017221
BFGS:    6 03:16:35  -377632.630132        0.017594
BFGS:    7 03:53:38  -377632.630110        0.016964
BFGS:    8 04:30:33  -377632.630060        0.014435
BFGS:    9 05:07:05  -377632.629977        0.011717
BFGS:   10 05:43:59  -377632.629947        0.010589
BFGS:   11 06:20:36  -377632.629927        0.008731
