      Step     Time          Energy          fmax
BFGS:    0 01:51:33  -377632.453385        3.509782
BFGS:    1 02:29:01  -377632.600650        1.005210
BFGS:    2 03:06:04  -377632.615812        0.404974
BFGS:    3 03:42:47  -377632.619973        0.323234
BFGS:    4 04:19:53  -377632.621865        0.363209
BFGS:    5 04:56:43  -377632.623221        0.344302
BFGS:    6 05:33:26  -377632.624809        0.272327
BFGS:    7 06:10:08  -377632.626520        0.144952
BFGS:    8 06:46:47  -377632.627360        0.118446
BFGS:    9 07:23:34  -377632.627466        0.137462
BFGS:   10 08:00:41  -377632.627750        0.161729
BFGS:   11 08:37:45  -377632.628547        0.112954
BFGS:   12 09:15:12  -377632.629032        0.077048
BFGS:   13 09:52:31  -377632.629041        0.075032
BFGS:   14 10:29:54  -377632.628983        0.095758
BFGS:   15 11:07:13  -377632.629137        0.076043
BFGS:   16 11:44:32  -377632.629311        0.063472
BFGS:   17 12:22:31  -377632.629292        0.059400
BFGS:   18 12:59:59  -377632.629227        0.074799
BFGS:   19 13:37:53  -377632.629274        0.078167
BFGS:   20 14:15:48  -377632.629470        0.082989
BFGS:   21 14:52:54  -377632.629589        0.072277
BFGS:   22 15:30:17  -377632.629542        0.050152
BFGS:   23 16:08:19  -377632.629564        0.053023
BFGS:   24 16:47:20  -377632.629689        0.050195
BFGS:   25 17:26:00  -377632.629797        0.072157
BFGS:   26 18:04:50  -377632.629795        0.073155
BFGS:   27 18:43:48  -377632.629784        0.065781
BFGS:   28 19:23:11  -377632.629916        0.048345
BFGS:   29 20:02:24  -377632.630063        0.041207
BFGS:   30 20:42:03  -377632.630108        0.043387
BFGS:   31 21:22:02  -377632.630099        0.057656
BFGS:   32 22:01:54  -377632.630137        0.056325
BFGS:   33 22:42:05  -377632.630216        0.033794
BFGS:   34 23:22:41  -377632.630241        0.045472
BFGS:   35 00:03:21  -377632.630205        0.051607
BFGS:   36 00:44:33  -377632.630203        0.044670
BFGS:   37 01:26:26  -377632.630256        0.030875
BFGS:   38 02:08:27  -377632.630297        0.034330
BFGS:   39 02:51:12  -377632.630296        0.027372
BFGS:   40 03:34:39  -377632.630260        0.045869
BFGS:   41 04:17:59  -377632.630290        0.038266
BFGS:   42 05:01:49  -377632.630346        0.025222
BFGS:   43 05:46:12  -377632.630355        0.014549
BFGS:   44 06:30:30  -377632.630369        0.020838
BFGS:   45 07:15:55  -377632.630387        0.027513
BFGS:   46 08:01:29  -377632.630422        0.031322
BFGS:   47 08:47:34  -377632.630437        0.014700
BFGS:   48 09:34:25  -377632.630440        0.008130
