## SLURM PROLOG ###############################################################
##    Job ID : 8511667
##  Job Name : test
##  Nodelist : node2307
##      CPUs : 48
##  Mem/Node : 98304 MB
## Directory : /oscar/scratch/kbadger1/SaddleClimb/examples/H_diffusion_Pt111/minimizations/atop
##   Job Started : Fri Feb 21 05:36:16 PM EST 2025
###############################################################################
      Step     Time          Energy          fmax
BFGS:    0 17:41:26  -377632.520564        1.988826
BFGS:    1 17:47:44  -377632.597961        1.339706
BFGS:    2 17:52:42  -377632.639881        0.655160
BFGS:    3 17:57:39  -377632.648057        0.160569
BFGS:    4 18:02:38  -377632.649093        0.096305
BFGS:    5 18:07:55  -377632.652206        0.214382
BFGS:    6 18:13:06  -377632.653567        0.189940
BFGS:    7 18:18:21  -377632.654523        0.106694
BFGS:    8 18:23:37  -377632.655259        0.098923
BFGS:    9 18:28:54  -377632.656137        0.122818
BFGS:   10 18:34:11  -377632.656737        0.087907
BFGS:   11 18:39:24  -377632.657030        0.030813
BFGS:   12 18:44:41  -377632.657177        0.023977
BFGS:   13 18:49:56  -377632.657316        0.037002
BFGS:   14 18:55:07  -377632.657440        0.034691
BFGS:   15 19:00:24  -377632.657501        0.019133
BFGS:   16 19:05:39  -377632.657529        0.014113
BFGS:   17 19:10:56  -377632.657563        0.018956
BFGS:   18 19:16:11  -377632.657626        0.026703
BFGS:   19 19:21:25  -377632.657711        0.025078
BFGS:   20 19:26:40  -377632.657787        0.014243
BFGS:   21 19:31:56  -377632.657834        0.010750
BFGS:   22 19:37:12  -377632.657866        0.014084
BFGS:   23 19:42:30  -377632.657892        0.015194
BFGS:   24 19:47:42  -377632.657907        0.009161
