## SLURM PROLOG ###############################################################
##    Job ID : 8511698
##  Job Name : test
##  Nodelist : node1941
##      CPUs : 48
##  Mem/Node : 98304 MB
## Directory : /oscar/scratch/kbadger1/SaddleClimb/examples/H_diffusion_Pt111/minimizations/fcc
##   Job Started : Fri Feb 21 05:26:15 PM EST 2025
###############################################################################
      Step     Time          Energy          fmax
BFGS:    0 17:31:24  -377632.552092        0.963767
BFGS:    1 17:36:41  -377632.583355        0.688528
BFGS:    2 17:42:13  -377632.624342        0.164161
BFGS:    3 17:47:56  -377632.626144        0.125425
BFGS:    4 17:53:25  -377632.628215        0.129496
BFGS:    5 17:58:58  -377632.630874        0.127959
BFGS:    6 18:04:24  -377632.633174        0.083690
BFGS:    7 18:09:53  -377632.634572        0.102347
BFGS:    8 18:15:22  -377632.635469        0.088743
BFGS:    9 18:20:54  -377632.636296        0.067211
BFGS:   10 18:26:01  -377632.636932        0.059820
BFGS:   11 18:31:07  -377632.637268        0.038636
BFGS:   12 18:36:15  -377632.637431        0.027624
BFGS:   13 18:41:25  -377632.637649        0.040278
BFGS:   14 18:46:29  -377632.637804        0.034959
BFGS:   15 18:51:43  -377632.637932        0.019292
BFGS:   16 18:56:49  -377632.637974        0.017386
BFGS:   17 19:02:20  -377632.638021        0.018867
BFGS:   18 19:07:30  -377632.638021        0.021471
BFGS:   19 19:12:42  -377632.638071        0.009065
