## SLURM PROLOG ###############################################################
##    Job ID : 7779049
##  Job Name : test
##  Nodelist : node2330
##      CPUs : 48
##  Mem/Node : 98304 MB
## Directory : /oscar/scratch/kbadger1/SaddleClimb/examples/H_diffusion_Pt111/minimizations/hcp
##   Job Started : Sat Jan 25 10:08:37 PM EST 2025
###############################################################################
      Step     Time          Energy          fmax
BFGS:    0 22:13:56  -377632.508166        0.859612
BFGS:    1 22:19:19  -377632.548041        0.714706
BFGS:    2 22:24:21  -377632.650167        0.246698
BFGS:    3 22:29:22  -377632.654815        0.208175
BFGS:    4 22:34:26  -377632.679172        0.153761
BFGS:    5 22:39:24  -377632.681005        0.147973
BFGS:    6 22:44:28  -377632.685970        0.093466
BFGS:    7 22:49:31  -377632.687008        0.059737
BFGS:    8 22:54:36  -377632.687544        0.048824
BFGS:    9 22:59:40  -377632.687876        0.041377
BFGS:   10 23:04:37  -377632.688258        0.030338
BFGS:   11 23:09:35  -377632.688433        0.030769
BFGS:   12 23:14:34  -377632.688508        0.028733
BFGS:   13 23:19:41  -377632.688570        0.025381
BFGS:   14 23:24:45  -377632.688662        0.020129
BFGS:   15 23:29:48  -377632.688746        0.016968
BFGS:   16 23:34:49  -377632.688796        0.014926
BFGS:   17 23:39:56  -377632.688826        0.014345
BFGS:   18 23:45:02  -377632.688853        0.013724
BFGS:   19 23:50:01  -377632.688883        0.012627
BFGS:   20 23:55:05  -377632.688908        0.010790
BFGS:   21 00:00:13  -377632.688924        0.009147
