## SLURM PROLOG ###############################################################
##    Job ID : 8511739
##  Job Name : test
##  Nodelist : node1942
##      CPUs : 48
##  Mem/Node : 98304 MB
## Directory : /oscar/scratch/kbadger1/SaddleClimb/examples/H_diffusion_Pt111/minimizations/hcp
##   Job Started : Fri Feb 21 05:27:50 PM EST 2025
###############################################################################
      Step     Time          Energy          fmax
BFGS:    0 17:32:54  -377632.503484        0.737183
BFGS:    1 17:37:51  -377632.527524        0.539090
BFGS:    2 17:42:53  -377632.561396        0.153136
BFGS:    3 17:47:52  -377632.562987        0.119903
BFGS:    4 17:52:54  -377632.565564        0.131779
BFGS:    5 17:57:59  -377632.568688        0.128525
BFGS:    6 18:03:02  -377632.571675        0.083815
BFGS:    7 18:08:02  -377632.573480        0.073154
BFGS:    8 18:13:07  -377632.574511        0.082803
BFGS:    9 18:18:11  -377632.575396        0.080399
BFGS:   10 18:23:38  -377632.576025        0.057360
BFGS:   11 18:28:57  -377632.576305        0.037126
BFGS:   12 18:34:17  -377632.576456        0.025317
BFGS:   13 18:39:38  -377632.576670        0.031519
BFGS:   14 18:45:01  -377632.576832        0.025302
BFGS:   15 18:50:23  -377632.576932        0.012637
BFGS:   16 18:55:52  -377632.576962        0.009309
