## SLURM PROLOG ###############################################################
##    Job ID : 221616
##  Job Name : irc_rev
##  Nodelist : node[1743-1746]
##      CPUs : 128
##  Mem/Node : 98304 MB
## Directory : /oscar/scratch/kbadger1/Saddleclimb_example/XNO-H-XC/irc/reverse
##   Job Started : Thu Jan 29 11:07:41 PM EST 2026
###############################################################################
/users/kbadger1/anaconda3/envs/ase/lib/python3.13/site-packages/sella/peswrapper.py:325: RuntimeWarning: invalid value encountered in scalar divide
  ratio = df_actual / df_pred
     Step     Time          Energy          fmax
IRC:    0 23:41:29  -378859.231111        0.010550
IRC:    1 00:01:33  -378859.264140        0.572673
IRC:    2 00:21:40  -378859.313229        0.766622
IRC:    3 00:36:07  -378859.351169        0.811225
IRC:    4 00:55:06  -378859.382796        0.805016
IRC:    5 01:04:25  -378859.409897        0.754749
IRC:    6 01:13:44  -378859.433502        0.730868
IRC:    7 01:23:11  -378859.454601        0.790820
IRC:    8 01:32:38  -378859.473906        0.823624
IRC:    9 01:42:05  -378859.491856        0.836908
IRC:   10 01:51:34  -378859.508719        0.837838
IRC:   11 01:56:23  -378859.524625        0.830319
IRC:   12 02:01:04  -378859.539654        0.816824
IRC:   13 02:05:48  -378859.553893        0.799615
IRC:   14 02:10:28  -378859.567406        0.779658
IRC:   15 02:15:08  -378859.580228        0.757979
IRC:   16 02:19:52  -378859.592410        0.735228
IRC:   17 02:24:35  -378859.604003        0.712090
IRC:   18 02:29:25  -378859.615043        0.688729
IRC:   19 02:34:11  -378859.625575        0.666263
IRC:   20 02:39:03  -378859.635656        0.645038
IRC:   21 02:43:51  -378859.645318        0.625629
IRC:   22 02:48:43  -378859.654587        0.607807
IRC:   23 02:53:32  -378859.663507        0.591252
IRC:   24 02:58:20  -378859.672115        0.574646
IRC:   25 03:03:12  -378859.680423        0.557067
IRC:   26 03:12:48  -378859.688431        0.548098
IRC:   27 03:17:39  -378859.696152        0.539256
IRC:   28 03:22:27  -378859.703601        0.530178
IRC:   29 03:27:17  -378859.710781        0.520596
IRC:   30 03:32:08  -378859.717703        0.510495
IRC:   31 03:36:59  -378859.724397        0.500132
IRC:   32 03:46:35  -378859.730885        0.489880
IRC:   33 03:51:32  -378859.737171        0.479418
IRC:   34 03:56:21  -378859.743267        0.468570
IRC:   35 04:06:00  -378859.749192        0.457930
IRC:   36 04:10:49  -378859.754936        0.447148
IRC:   37 04:15:43  -378859.760486        0.436041
IRC:   38 04:20:30  -378859.765838        0.424677
IRC:   39 04:30:10  -378859.770997        0.413534
IRC:   40 04:34:58  -378859.775956        0.402274
IRC:   41 04:39:49  -378859.780714        0.390595
IRC:   42 04:44:49  -378859.785290        0.379243
IRC:   43 04:49:49  -378859.789702        0.367715
IRC:   44 04:54:50  -378859.793955        0.356192
IRC:   45 04:59:50  -378859.798052        0.344650
IRC:   46 05:04:49  -378859.802004        0.333179
IRC:   47 05:09:50  -378859.805819        0.322102
IRC:   48 05:14:51  -378859.809495        0.310940
IRC:   49 05:19:44  -378859.813029        0.299458
IRC:   50 05:24:35  -378859.816424        0.288463
IRC:   51 05:39:19  -378859.819682        0.277744
IRC:   52 05:44:20  -378859.822806        0.267301
IRC:   53 05:49:15  -378859.825793        0.256243
IRC:   54 05:54:12  -378859.828645        0.246038
IRC:   55 05:59:06  -378859.831367        0.235868
IRC:   56 06:04:00  -378859.833966        0.225891
IRC:   57 06:08:53  -378859.836447        0.216208
IRC:   58 06:13:46  -378859.838810        0.206734
IRC:   59 06:18:43  -378859.841057        0.197309
IRC:   60 06:23:38  -378859.843194        0.188444
IRC:   61 06:28:32  -378859.845224        0.179310
IRC:   62 06:33:27  -378859.847150        0.171269
IRC:   63 06:43:19  -378859.848978        0.163090
IRC:   64 06:48:16  -378859.850706        0.155105
IRC:   65 06:53:13  -378859.852338        0.146670
IRC:   66 06:58:06  -378859.853877        0.139213
IRC:   67 07:03:10  -378859.855329        0.131130
IRC:   68 07:12:56  -378859.856696        0.123499
IRC:   69 07:17:55  -378859.857979        0.116406
IRC:   70 07:22:50  -378859.859177        0.109886
IRC:   71 07:27:46  -378859.860292        0.102914
IRC:   72 07:32:43  -378859.861324        0.096130
IRC:   73 07:37:38  -378859.862277        0.089513
IRC:   74 07:42:36  -378859.863154        0.082954
IRC:   75 07:47:29  -378859.863958        0.076747
IRC:   76 07:52:26  -378859.864690        0.070683
IRC:   77 07:57:22  -378859.865354        0.064966
IRC:   78 08:02:17  -378859.865950        0.058815
IRC:   79 08:07:15  -378859.866482        0.053476
IRC:   80 08:12:16  -378859.866950        0.047793
IRC:   81 08:17:13  -378859.867356        0.041300
IRC:   82 08:22:10  -378859.867702        0.035746
IRC:   83 08:27:09  -378859.867991        0.029836
IRC:   84 08:32:08  -378859.868227        0.024303
IRC:   85 08:37:07  -378859.868413        0.018586
IRC:   86 08:42:04  -378859.868553        0.013976
IRC:   87 08:47:02  -378859.868651        0.008770
