Iteration           Energy (eV)         Fmax (eV/A)         
0                   -378861.12072       0.006224            
1                   -378861.112932      0.607374            
2                   -378861.099095      0.861798            
3                   -378861.065248      1.271513            
4                   -378860.975291      1.973083            
5                   -378860.726322      3.008581            
6                   -378860.223293      3.861114            
7                   -378859.556341      4.037418            
8                   -378858.823123      3.585392            
9                   -378858.185804      2.736284            
10                  -378857.742329      1.869384            
11                  -378857.617766      2.093102            
12                  -378857.684191      1.911191            
13                  -378858.209698      2.028868            
14                  -378858.526196      2.668226            
15                  -378858.656314      2.45206             
16                  -378858.820999      1.483411            
17                  -378858.981947      1.537768            
18                  -378859.039523      0.83092             
19                  -378859.06809       0.956917            
20                  -378859.098991      0.709195            
21                  -378859.119256      0.602484            
22                  -378859.166757      0.325947            
23                  -378859.173429      0.308663            
24                  -378859.195248      0.269532            
25                  -378859.20481       0.246992            
26                  -378859.204763      0.154678            
27                  -378859.207467      0.158031            
28                  -378859.2145        0.135299            
29                  -378859.219369      0.14974             
30                  -378859.220807      0.123814            
31                  -378859.223865      0.073352            
32                  -378859.224408      0.083906            
33                  -378859.225826      0.070641            
34                  -378859.226621      0.0462              
35                  -378859.226979      0.048291            
36                  -378859.227459      0.061023            
37                  -378859.228018      0.042686            
38                  -378859.228244      0.037808            
39                  -378859.228358      0.029566            
40                  -378859.228544      0.031802            
41                  -378859.228776      0.023605            
42                  -378859.228858      0.028487            
43                  -378859.228937      0.024164            
44                  -378859.229064      0.021723            
45                  -378859.229156      0.019699            
46                  -378859.229206      0.020285            
47                  -378859.229296      0.026218            
48                  -378859.229498      0.032892            
49                  -378859.229658      0.027445            
50                  -378859.22973       0.024391            
51                  -378859.229827      0.028843            
52                  -378859.229966      0.021953            
53                  -378859.230059      0.022946            
54                  -378859.230131      0.024712            
55                  -378859.230265      0.026036            
56                  -378859.230411      0.023937            
57                  -378859.230477      0.01866             
58                  -378859.230539      0.023649            
59                  -378859.230672      0.028076            
60                  -378859.230812      0.019306            
61                  -378859.230865      0.015374            
62                  -378859.230909      0.015939            
63                  -378859.23099       0.022618            
64                  -378859.231052      0.016709            
65                  -378859.231074      0.011834            
66                  -378859.231097      0.011527            
67                  -378859.231137      0.012711            
68                  -378859.231165      0.010639            
69                  -378859.231176      0.011516            
70                  -378859.231187      0.009217            
