Iteration           Energy (eV)         Fmax (eV/A)         
0                   7.162017            0.000888            
1                   7.162922            0.037283            
2                   7.165418            0.077515            
3                   7.174883            0.180075            
4                   7.199464            0.376383            
5                   7.215893            0.404629            
6                   7.216908            0.232037            
7                   7.215879            0.20875             
8                   7.214714            0.122987            
9                   7.214585            0.103803            
10                  7.213838            0.053775            
11                  7.213169            0.046653            
12                  7.213009            0.052498            
13                  7.212023            0.040856            
14                  7.211826            0.027091            
15                  7.211789            0.02687             
16                  7.211715            0.017629            
17                  7.211677            0.007963            
