Iteration           Energy (eV)         Fmax (eV/A)         
0                   7.162017            0.000888            
1                   7.162922            0.037283            
2                   7.165452            0.079071            
3                   7.175111            0.196986            
4                   7.204981            0.497128            
Restarting:
Iteration           Energy (eV)         Fmax (eV/A)         
5                   7.232053            0.707605            
6                   7.237468            0.699949            
7                   7.230137            0.575509            
8                   7.215709            0.104616            
9                   7.215206            0.079145            
10                  7.214186            0.08187             
11                  7.213553            0.048475            
12                  7.213292            0.043073            
13                  7.212989            0.049687            
14                  7.212335            0.050573            
15                  7.211873            0.026488            
16                  7.211783            0.028123            
17                  7.211738            0.024054            
18                  7.211679            0.014172            
19                  7.21165             0.006552            
