             Step     Time          Energy          fmax
SaddleClimb:    0 16:56:11        7.162017        0.000889
SaddleClimb:    1 16:56:11        7.162922        0.037283
SaddleClimb:    2 16:56:11        7.165460        0.079191
SaddleClimb:    3 16:56:11        7.175278        0.198932
SaddleClimb:    4 16:56:11        7.205372        0.502260
SaddleClimb:    4 16:56:12        7.234254        0.738880
SaddleClimb:    5 16:56:12        7.234923        0.658651
SaddleClimb:    6 16:56:12        7.228814        0.571602
SaddleClimb:    7 16:56:12        7.216912        0.200476
SaddleClimb:    8 16:56:12        7.215396        0.080907
SaddleClimb:    9 16:56:12        7.214948        0.088906
SaddleClimb:   10 16:56:12        7.213668        0.054513
SaddleClimb:   11 16:56:12        7.213384        0.043490
SaddleClimb:   12 16:56:12        7.213129        0.048379
SaddleClimb:   13 16:56:12        7.212491        0.048611
SaddleClimb:   14 16:56:12        7.211916        0.030652
SaddleClimb:   15 16:56:12        7.211799        0.028343
SaddleClimb:   16 16:56:12        7.211752        0.025523
SaddleClimb:   17 16:56:12        7.211688        0.015383
SaddleClimb:   18 16:56:12        7.211652        0.007755
