Iteration           Energy (eV)         Fmax (eV/A)         
0                   -276.711152         0.007296            
1                   -276.646926         1.670254            
2                   -276.52616          2.855005            
3                   -276.271162         4.004944            
4                   -275.722407         4.386386            
5                   -274.159094         6.731652            
6                   -272.747855         5.415431            
7                   -272.089134         6.15755             
8                   -273.044855         2.666996            
9                   -273.430158         1.004376            
10                  -273.480179         1.022051            
11                  -273.545447         1.259138            
12                  -273.140632         1.591522            
13                  -273.453048         1.044061            
14                  -273.696678         0.98286             
15                  -273.678226         1.029102            
16                  -273.732246         0.996255            
17                  -273.780989         0.765262            
18                  -273.85216          0.786901            
19                  -274.109467         1.530197            
20                  -274.241174         1.49684             
21                  -274.359222         0.960681            
22                  -274.457491         0.720284            
23                  -274.509807         0.639162            
24                  -274.549231         0.821013            
25                  -274.595392         0.806799            
26                  -274.633966         0.66324             
27                  -274.66531          0.422961            
28                  -274.67862          0.26698             
29                  -274.685009         0.254105            
30                  -274.69515          0.206149            
31                  -274.704553         0.261225            
32                  -274.711416         0.236066            
33                  -274.718589         0.236105            
34                  -274.729143         0.387106            
35                  -274.739154         0.334493            
36                  -274.744276         0.151963            
37                  -274.746587         0.135894            
38                  -274.748367         0.137406            
39                  -274.750253         0.133285            
40                  -274.751993         0.071784            
41                  -274.752991         0.06056             
42                  -274.753668         0.057368            
43                  -274.754642         0.053821            
44                  -274.755931         0.078146            
45                  -274.756977         0.088284            
46                  -274.757742         0.076716            
47                  -274.758731         0.070915            
48                  -274.76019          0.082608            
49                  -274.761558         0.101207            
50                  -274.762863         0.098718            
51                  -274.765152         0.155597            
52                  -274.768558         0.202904            
53                  -274.771888         0.186079            
54                  -274.775481         0.313067            
55                  -274.776634         0.51445             
56                  -274.783683         0.213509            
57                  -274.787727         0.1398              
58                  -274.791628         0.315488            
59                  -274.795233         0.205114            
60                  -274.799631         0.14598             
61                  -274.805248         0.160348            
62                  -274.806314         0.55751             
63                  -274.81124          0.229677            
64                  -274.813078         0.113692            
65                  -274.815723         0.113423            
66                  -274.820217         0.129393            
67                  -274.823091         0.124321            
