Iteration           Energy (eV)         Fmax (eV/A)         
0                   -275.593387         0.009168            
1                   -275.590211         0.225228            
2                   -275.583081         0.348251            
3                   -275.561141         0.542923            
4                   -275.488095         0.900616            
5                   -275.277128         1.274546            
6                   -274.972556         1.448203            
7                   -274.655857         1.796931            
8                   -274.401328         2.029701            
9                   -274.25536          1.790149            
10                  -274.218323         1.146811            
11                  -274.177782         0.887399            
12                  -274.070597         1.664131            
13                  -274.118446         1.130757            
14                  -274.216852         0.666344            
15                  -274.26819          1.238749            
16                  -274.175888         2.100703            
17                  -273.891034         3.17912             
18                  -273.469896         4.513351            
19                  -274.034226         1.83435             
20                  -274.153146         3.480339            
21                  -274.202719         0.98862             
22                  -274.172518         2.309031            
23                  -274.165292         3.011724            
24                  -273.760416         4.242618            
25                  -274.325086         2.065014            
26                  -274.35215          3.263248            
27                  -274.346168         0.937038            
28                  -274.313857         1.071933            
29                  -274.384276         0.952394            
30                  -274.391559         1.279157            
31                  -274.318112         2.446391            
32                  -274.407756         3.044428            
33                  -274.53975          3.147983            
34                  -274.739064         4.494931            
35                  -275.144392         3.398513            
36                  -275.832214         2.200999            
37                  -275.763491         2.077576            
38                  -275.582702         1.916181            
39                  -275.400505         2.338568            
40                  -275.444712         1.655323            
41                  -275.288009         2.379225            
42                  -275.122024         2.361042            
43                  -275.031379         3.245807            
44                  -274.884313         2.497751            
45                  -275.068538         1.273695            
46                  -274.941347         1.659453            
47                  -274.731833         1.409621            
48                  -274.572905         2.072899            
49                  -274.419723         2.481054            
50                  -274.349907         2.013975            
51                  -274.253867         1.624737            
