Iteration           Energy (eV)         Fmax (eV/A)         
0                   -217.931497         0.006819            
1                   -217.928354         0.159507            
2                   -217.919813         0.296692            
3                   -217.890008         0.690575            
4                   -217.789133         1.590347            
5                   -217.562059         2.728488            
6                   -217.229147         3.653886            
7                   -216.852222         3.602414            
8                   -216.562311         2.991148            
9                   -216.575173         1.978121            
10                  -216.659436         1.324789            
11                  -216.620561         0.886978            
12                  -216.637951         0.49699             
13                  -216.648831         0.209449            
14                  -216.652138         0.217446            
15                  -216.658444         0.140151            
16                  -216.659831         0.082652            
17                  -216.660117         0.042573            
18                  -216.660504         0.04982             
19                  -216.660751         0.064017            
20                  -216.661052         0.052313            
21                  -216.66124          0.035576            
22                  -216.661424         0.037847            
23                  -216.66161          0.045893            
24                  -216.66185          0.034242            
25                  -216.661961         0.016741            
26                  -216.661995         0.011281            
27                  -216.66203          0.018735            
28                  -216.662096         0.018136            
29                  -216.66213          0.008152            
