Iteration           Energy (eV)         Fmax (eV/A)         
0                   -217.931497         0.006819            
1                   -217.928346         0.149316            
2                   -217.919388         0.311436            
3                   -217.886741         0.743714            
4                   -217.770107         1.739938            
Restarting:
Iteration           Energy (eV)         Fmax (eV/A)         
5                   -217.527296         2.890491            
6                   -217.15716          3.767262            
7                   -216.754363         3.625587            
8                   -216.51967          2.928379            
9                   -216.559273         2.233181            
10                  -216.588806         1.766116            
11                  -216.554803         1.375975            
12                  -216.574744         0.997252            
13                  -216.590375         0.758554            
14                  -216.617256         0.143088            
15                  -216.617566         0.09826             
16                  -216.617794         0.046937            
17                  -216.617874         0.047125            
18                  -216.617916         0.050806            
19                  -216.618071         0.046953            
20                  -216.618219         0.031282            
21                  -216.618244         0.017681            
22                  -216.61825          0.013302            
23                  -216.618272         0.017004            
24                  -216.618333         0.019094            
25                  -216.618365         0.009382            
