Iteration           Energy (eV)         Fmax (eV/A)         
0                   -213.131066         0.009927            
1                   -213.113319         0.693273            
2                   -213.07934          1.111216            
3                   -212.986277         1.50366             
4                   -212.695398         1.514756            
Restarting:
Iteration           Energy (eV)         Fmax (eV/A)         
5                   -212.33973          1.873022            
6                   -212.118539         2.17091             
7                   -212.123967         1.189469            
8                   -212.177132         1.300105            
9                   -212.179262         0.969803            
10                  -212.247474         0.923546            
11                  -212.37494          0.386826            
12                  -212.384276         0.231862            
13                  -212.385996         0.239249            
14                  -212.391134         0.227939            
15                  -212.401611         0.323243            
16                  -212.404903         0.171502            
17                  -212.405466         0.104363            
18                  -212.405866         0.076802            
19                  -212.406455         0.12129             
20                  -212.408146         0.11015             
21                  -212.408413         0.043629            
22                  -212.408455         0.040169            
23                  -212.408513         0.036283            
24                  -212.408721         0.037502            
25                  -212.408839         0.014849            
26                  -212.408843         0.007546            
