Iteration           Energy (eV)         Fmax (eV/A)         
0                   -378334.70743       0.008706            
1                   -378334.66058       1.603575            
2                   -378334.548323      1.534783            
3                   -378334.397101      1.23547             
4                   -378333.770863      6.764617            
5                   -378334.070852      2.632078            
6                   -378333.768089      3.881151            
7                   -378333.535669      1.439045            
8                   -378333.144403      1.453215            
9                   -378332.803048      1.999822            
10                  -378332.564106      1.075425            
11                  -378332.377558      1.239449            
12                  -378332.82986       2.224296            
13                  -378332.66337       0.821015            
14                  -378332.691803      0.449545            
15                  -378332.697624      1.089175            
16                  -378332.714969      0.196758            
17                  -378332.723093      0.209697            
18                  -378332.730246      0.2249              
19                  -378332.735016      0.18453             
20                  -378332.736993      0.111153            
21                  -378332.738218      0.103898            
22                  -378332.739723      0.059938            
23                  -378332.741228      0.033137            
24                  -378332.741775      0.025921            
25                  -378332.742238      0.024354            
26                  -378332.742615      0.039422            
27                  -378332.743074      0.041564            
28                  -378332.743473      0.019257            
29                  -378332.74374       0.025402            
30                  -378332.744056      0.025753            
31                  -378332.744403      0.02081             
32                  -378332.744587      0.012535            
33                  -378332.744674      0.015748            
34                  -378332.744739      0.014803            
35                  -378332.744784      0.009819            
