Iteration           Energy (eV)         Fmax (eV/A)         
0                   -231.990319         0.005531            
1                   -231.973426         0.970956            
2                   -231.947068         1.429032            
3                   -231.888698         2.066306            
4                   -231.74036          2.986724            
5                   -231.336801         4.048026            
6                   -230.789549         4.404342            
7                   -230.222469         4.196413            
8                   -229.686577         3.545357            
9                   -229.328868         2.890677            
10                  -229.10577          2.466638            
11                  -228.925671         1.898441            
12                  -228.795217         1.477907            
13                  -228.874018         1.00817             
14                  -229.104704         1.246215            
15                  -229.269834         1.83653             
16                  -229.380031         1.390135            
17                  -229.624467         1.317954            
18                  -229.64358          1.126613            
19                  -229.701414         0.787221            
20                  -229.73882          0.531095            
21                  -229.777461         0.436643            
22                  -229.791536         0.402953            
23                  -229.807938         0.389226            
24                  -229.841067         0.4239              
25                  -229.874261         0.391351            
26                  -229.891691         0.545751            
27                  -229.913172         0.549781            
28                  -229.93561          0.618743            
29                  -229.974852         0.615787            
30                  -230.039275         0.907519            
31                  -230.074085         0.524452            
32                  -230.089365         0.490489            
33                  -230.102535         0.331345            
34                  -230.109646         0.242145            
35                  -230.119856         0.250222            
36                  -230.127792         0.30345             
37                  -230.138177         0.253431            
38                  -230.142295         0.122965            
39                  -230.14455          0.125922            
40                  -230.147396         0.204966            
41                  -230.151024         0.21207             
42                  -230.153495         0.152397            
43                  -230.155413         0.160216            
44                  -230.157619         0.131967            
45                  -230.159606         0.158595            
46                  -230.162518         0.179165            
47                  -230.165386         0.175854            
48                  -230.167724         0.134704            
49                  -230.169966         0.126134            
50                  -230.171372         0.132214            
51                  -230.172783         0.094177            
52                  -230.173925         0.113588            
53                  -230.175344         0.128824            
54                  -230.177474         0.13616             
55                  -230.178924         0.091821            
56                  -230.179848         0.075694            
57                  -230.181067         0.125256            
58                  -230.182856         0.153346            
59                  -230.184323         0.10174             
60                  -230.185308         0.087678            
61                  -230.186082         0.073059            
62                  -230.186744         0.060985            
63                  -230.187527         0.107503            
64                  -230.188484         0.129409            
65                  -230.189493         0.090735            
66                  -230.190137         0.051301            
67                  -230.190515         0.053393            
68                  -230.191012         0.079874            
69                  -230.191857         0.071593            
70                  -230.192684         0.047723            
71                  -230.193052         0.046567            
72                  -230.193256         0.035849            
73                  -230.193571         0.035719            
74                  -230.193982         0.031345            
75                  -230.194189         0.03118             
76                  -230.19429          0.029573            
77                  -230.194436         0.022312            
78                  -230.194758         0.035686            
79                  -230.194959         0.026126            
80                  -230.195028         0.0233              
81                  -230.195133         0.025834            
82                  -230.195373         0.031863            
83                  -230.195543         0.020425            
84                  -230.195596         0.017104            
85                  -230.195657         0.017985            
86                  -230.195817         0.033923            
87                  -230.195973         0.025025            
88                  -230.196013         0.0175              
89                  -230.196042         0.016966            
90                  -230.19612          0.019485            
91                  -230.196217         0.017469            
92                  -230.196241         0.009617            
