Iteration           Energy (eV)         Fmax (eV/A)         
0                   -231.300659         0.008577            
1                   -231.273396         1.447403            
2                   -231.24207          2.023609            
3                   -231.194033         2.592504            
4                   -231.105445         3.240217            
5                   -230.917355         4.005509            
6                   -230.464466         4.647833            
7                   -229.873126         4.640432            
8                   -229.290782         3.533403            
9                   -228.982662         2.207841            
10                  -228.90933          1.365587            
11                  -228.955743         1.423883            
12                  -229.271345         1.80575             
13                  -229.627154         1.709875            
14                  -229.697021         1.597963            
15                  -229.809583         1.04845             
16                  -229.847605         0.850009            
17                  -229.927398         1.029048            
18                  -229.954754         0.762746            
19                  -229.978666         0.749702            
20                  -230.023385         0.756543            
21                  -230.048867         0.530062            
22                  -230.07952          0.514046            
23                  -230.109747         0.338241            
24                  -230.117726         0.359672            
25                  -230.124593         0.242645            
26                  -230.131728         0.336047            
27                  -230.13455          0.223875            
28                  -230.136363         0.119492            
29                  -230.139048         0.150872            
30                  -230.140563         0.148913            
31                  -230.143523         0.126836            
32                  -230.145141         0.071464            
33                  -230.145748         0.075292            
34                  -230.146336         0.05826             
35                  -230.147112         0.068935            
36                  -230.147693         0.066913            
37                  -230.148059         0.063321            
38                  -230.148412         0.049953            
39                  -230.148724         0.054229            
40                  -230.148987         0.05638             
41                  -230.149294         0.055103            
42                  -230.149708         0.058697            
43                  -230.150124         0.062551            
44                  -230.150479         0.05479             
45                  -230.150813         0.046649            
46                  -230.151059         0.040041            
47                  -230.151252         0.056173            
48                  -230.15156          0.06782             
49                  -230.152131         0.082542            
50                  -230.152631         0.065744            
51                  -230.152922         0.041172            
52                  -230.153335         0.074153            
53                  -230.154467         0.135101            
54                  -230.156289         0.140189            
55                  -230.157198         0.078427            
56                  -230.158128         0.116674            
57                  -230.160633         0.227312            
58                  -230.164919         0.235513            
59                  -230.166987         0.117315            
60                  -230.168149         0.098809            
61                  -230.169287         0.142782            
62                  -230.171953         0.195658            
63                  -230.177331         0.15953             
64                  -230.178701         0.1666              
65                  -230.182262         0.132936            
66                  -230.183912         0.149102            
67                  -230.185791         0.200716            
68                  -230.188851         0.160492            
69                  -230.190813         0.07032             
70                  -230.191641         0.063176            
71                  -230.192176         0.07388             
72                  -230.193109         0.065991            
73                  -230.19415          0.049707            
74                  -230.194484         0.052375            
75                  -230.194672         0.048078            
76                  -230.195114         0.033845            
77                  -230.195505         0.026139            
78                  -230.195613         0.021786            
79                  -230.19566          0.021058            
80                  -230.195773         0.018846            
81                  -230.195949         0.022004            
82                  -230.196015         0.015037            
83                  -230.196041         0.013845            
84                  -230.19609          0.010573            
85                  -230.196152         0.009319            
