## SLURM PROLOG ###############################################################
##    Job ID : 14713547
##  Job Name : test
##  Nodelist : node1820
##      CPUs : 48
##  Mem/Node : 98304 MB
## Directory : /oscar/scratch/kbadger1/SaddleClimb/examples/CH_C_to_C_CH/minimizations/init
##   Job Started : Thu Dec  4 09:30:26 PM EST 2025
###############################################################################
      Step     Time          Energy          fmax
BFGS:    0 21:36:28  -378147.864732        2.163815
BFGS:    1 21:42:49  -378148.016345        1.513406
BFGS:    2 21:48:33  -378148.236406        0.864270
BFGS:    3 21:54:35  -378148.266812        0.760190
BFGS:    4 22:00:25  -378148.328512        0.243679
BFGS:    5 22:06:10  -378148.334617        0.235051
BFGS:    6 22:11:58  -378148.353506        0.305555
BFGS:    7 22:17:32  -378148.357914        0.263051
BFGS:    8 22:23:21  -378148.365536        0.122002
BFGS:    9 22:29:05  -378148.367395        0.114708
BFGS:   10 22:34:50  -378148.369827        0.126242
BFGS:   11 22:40:33  -378148.371033        0.090730
BFGS:   12 22:46:23  -378148.371948        0.057243
BFGS:   13 22:52:11  -378148.372327        0.050473
BFGS:   14 22:57:56  -378148.372658        0.047484
BFGS:   15 23:03:43  -378148.373011        0.045079
BFGS:   16 23:09:28  -378148.373349        0.048155
BFGS:   17 23:15:17  -378148.373604        0.041341
BFGS:   18 23:21:06  -378148.373814        0.046187
BFGS:   19 23:26:51  -378148.373996        0.033822
BFGS:   20 23:32:38  -378148.374141        0.035615
BFGS:   21 23:38:20  -378148.374248        0.027141
BFGS:   22 23:44:05  -378148.374326        0.021406
BFGS:   23 23:49:50  -378148.374387        0.023154
BFGS:   24 23:55:33  -378148.374447        0.022364
BFGS:   25 00:01:18  -378148.374512        0.019256
BFGS:   26 00:07:06  -378148.374576        0.019932
BFGS:   27 00:12:55  -378148.374627        0.017717
BFGS:   28 00:18:42  -378148.374644        0.013963
BFGS:   29 00:24:25  -378148.374672        0.015708
BFGS:   30 00:30:10  -378148.374700        0.013580
BFGS:   31 00:35:57  -378148.374719        0.011728
BFGS:   32 00:41:43  -378148.374728        0.005880
