      Step     Time          Energy          fmax
BFGS:    0 22:33:34  -377889.374000        2.857247
BFGS:    1 23:11:57  -377889.434526        2.010126
BFGS:    2 23:51:15  -377889.601185        3.964620
BFGS:    3 00:29:35  -377889.606470        1.024589
BFGS:    4 01:08:03  -377889.647525        0.696228
BFGS:    5 01:46:41  -377889.682868        0.985472
BFGS:    6 02:25:18  -377889.688810        0.671216
BFGS:    7 03:03:47  -377889.696142        0.404794
BFGS:    8 03:42:04  -377889.705538        0.414927
BFGS:    9 04:20:22  -377889.715124        0.521955
BFGS:   10 04:58:51  -377889.714394        0.426067
BFGS:   11 05:37:20  -377889.718343        0.278920
BFGS:   12 06:15:34  -377889.721839        0.183710
BFGS:   13 06:53:54  -377889.723134        0.184571
BFGS:   14 07:32:18  -377889.726224        0.221849
BFGS:   15 08:11:03  -377889.728788        0.254600
BFGS:   16 08:50:18  -377889.731718        0.256694
BFGS:   17 09:29:54  -377889.733760        0.234424
BFGS:   18 10:09:16  -377889.734737        0.232457
BFGS:   19 10:48:26  -377889.735206        0.188592
BFGS:   20 11:27:51  -377889.735658        0.203521
BFGS:   21 12:07:34  -377889.736145        0.249277
BFGS:   22 12:47:37  -377889.736450        0.232657
BFGS:   23 13:27:36  -377889.736482        0.154415
BFGS:   24 14:08:43  -377889.736397        0.114223
BFGS:   25 14:49:29  -377889.736392        0.130354
BFGS:   26 15:30:26  -377889.736413        0.143000
BFGS:   27 16:11:36  -377889.736251        0.111544
BFGS:   28 16:53:17  -377889.736003        0.097762
BFGS:   29 17:35:25  -377889.735845        0.089269
BFGS:   30 18:17:31  -377889.735783        0.073905
BFGS:   31 19:00:34  -377889.735701        0.046290
BFGS:   32 19:43:33  -377889.735586        0.048547
BFGS:   33 20:26:34  -377889.735459        0.053135
BFGS:   34 21:09:57  -377889.735285        0.040982
BFGS:   35 21:53:54  -377889.735045        0.050072
BFGS:   36 22:38:10  -377889.734756        0.046704
BFGS:   37 23:22:56  -377889.734486        0.047082
BFGS:   38 00:07:58  -377889.734255        0.040783
BFGS:   39 00:53:28  -377889.734038        0.031727
BFGS:   40 01:39:19  -377889.733770        0.036916
BFGS:   41 02:25:58  -377889.733391        0.040823
BFGS:   42 03:12:44  -377889.732871        0.040859
BFGS:   43 03:59:59  -377889.732294        0.030172
BFGS:   44 04:47:51  -377889.731803        0.029031
BFGS:   45 05:35:52  -377889.731504        0.022253
BFGS:   46 06:24:43  -377889.731406        0.020503
BFGS:   47 07:13:46  -377889.731364        0.017960
BFGS:   48 08:03:27  -377889.731222        0.018340
BFGS:   49 08:54:16  -377889.730876        0.024497
BFGS:   50 09:45:29  -377889.730335        0.024411
BFGS:   51 10:36:53  -377889.729698        0.025290
BFGS:   52 11:29:00  -377889.729017        0.034225
BFGS:   53 12:21:54  -377889.728479        0.031813
BFGS:   54 13:15:48  -377889.728232        0.036334
