## SLURM PROLOG ###############################################################
##    Job ID : 13675456
##  Job Name : test
##  Nodelist : node1846
##      CPUs : 48
##  Mem/Node : 98304 MB
## Directory : /oscar/scratch/kbadger1/SaddleClimb/examples/CH_to_C_H/minimizations/final
##   Job Started : Fri Oct 31 06:40:19 PM EDT 2025
###############################################################################
      Step     Time          Energy          fmax
BFGS:    0 18:45:26  -377886.476556        2.933423
BFGS:    1 18:50:19  -377886.809963        2.819381
BFGS:    2 18:55:23  -377887.969390        2.073223
BFGS:    3 19:00:22  -377888.295798        4.429018
BFGS:    4 19:05:26  -377888.810012        3.053470
BFGS:    5 19:10:22  -377889.360302        3.025452
BFGS:    6 19:15:45  -377889.575559        0.919148
BFGS:    7 19:21:01  -377889.618814        0.978086
BFGS:    8 19:26:11  -377889.679673        0.920472
BFGS:    9 19:31:15  -377889.778930        0.747658
BFGS:   10 19:36:25  -377889.816740        0.621358
BFGS:   11 19:41:39  -377889.883485        0.691307
BFGS:   12 19:46:44  -377889.924690        0.701721
BFGS:   13 19:52:02  -377889.982693        0.825596
BFGS:   14 19:57:20  -377890.006425        0.499674
BFGS:   15 20:02:29  -377890.024187        0.380990
BFGS:   16 20:07:32  -377890.034572        0.298210
BFGS:   17 20:12:33  -377890.044762        0.401247
BFGS:   18 20:17:54  -377890.054452        0.398010
BFGS:   19 20:23:15  -377890.064175        0.258652
BFGS:   20 20:28:37  -377890.071284        0.221500
BFGS:   21 20:34:01  -377890.077259        0.267877
BFGS:   22 20:39:31  -377890.084291        0.286047
BFGS:   23 20:44:51  -377890.089763        0.242578
BFGS:   24 20:49:55  -377890.093758        0.154338
BFGS:   25 20:54:57  -377890.096806        0.127620
BFGS:   26 21:00:02  -377890.099133        0.166441
BFGS:   27 21:05:13  -377890.101368        0.168950
BFGS:   28 21:10:23  -377890.103024        0.104241
BFGS:   29 21:15:29  -377890.104015        0.054973
BFGS:   30 21:20:38  -377890.104816        0.073900
BFGS:   31 21:25:49  -377890.105782        0.114151
BFGS:   32 21:30:56  -377890.106947        0.134880
BFGS:   33 21:36:11  -377890.107956        0.090447
BFGS:   34 21:41:17  -377890.108584        0.069568
BFGS:   35 21:46:28  -377890.109033        0.052488
BFGS:   36 21:51:33  -377890.109612        0.081919
BFGS:   37 21:56:36  -377890.110539        0.099158
BFGS:   38 22:01:45  -377890.111321        0.080801
BFGS:   39 22:06:52  -377890.111886        0.047484
BFGS:   40 22:11:52  -377890.112264        0.046335
BFGS:   41 22:16:54  -377890.112660        0.067244
BFGS:   42 22:21:58  -377890.113004        0.059072
BFGS:   43 22:27:06  -377890.113233        0.035861
BFGS:   44 22:32:14  -377890.113391        0.035753
BFGS:   45 22:37:21  -377890.113580        0.051688
BFGS:   46 22:42:28  -377890.113822        0.058691
BFGS:   47 22:47:31  -377890.114047        0.042158
BFGS:   48 22:52:36  -377890.114200        0.023938
BFGS:   49 22:57:42  -377890.114327        0.026395
BFGS:   50 23:02:43  -377890.114481        0.046071
BFGS:   51 23:07:44  -377890.114657        0.048183
BFGS:   52 23:12:48  -377890.114800        0.028913
BFGS:   53 23:17:58  -377890.114878        0.018850
BFGS:   54 23:23:01  -377890.114948        0.027138
BFGS:   55 23:28:04  -377890.115036        0.040076
BFGS:   56 23:33:07  -377890.115130        0.036655
BFGS:   57 23:38:15  -377890.115209        0.020241
BFGS:   58 23:43:19  -377890.115275        0.020449
BFGS:   59 23:48:25  -377890.115362        0.032169
BFGS:   60 23:53:33  -377890.115477        0.042559
BFGS:   61 23:58:37  -377890.115592        0.033460
BFGS:   62 00:03:38  -377890.115674        0.017272
BFGS:   63 00:08:41  -377890.115731        0.019693
BFGS:   64 00:13:48  -377890.115820        0.039163
BFGS:   65 00:18:49  -377890.115950        0.052265
BFGS:   66 00:23:57  -377890.116094        0.045471
BFGS:   67 00:29:05  -377890.116181        0.019771
BFGS:   68 00:34:10  -377890.116224        0.014628
BFGS:   69 00:39:16  -377890.116253        0.017974
BFGS:   70 00:44:26  -377890.116291        0.024260
BFGS:   71 00:49:30  -377890.116319        0.016377
BFGS:   72 00:54:36  -377890.116333        0.009583
BFGS:   73 00:59:40  -377890.116340        0.006746
BFGS:   74 01:04:45  -377890.116346        0.009646
BFGS:   75 01:09:50  -377890.116350        0.007713
BFGS:   76 01:14:59  -377890.116351        0.003078
BFGS:   77 01:20:05  -377890.116352        0.002657
BFGS:   78 01:25:13  -377890.116352        0.002699
BFGS:   79 01:30:16  -377890.116352        0.002922
BFGS:   80 01:35:25  -377890.116352        0.001501
BFGS:   81 01:40:33  -377890.116352        0.000846
