      Step     Time          Energy          fmax
BFGS:    0 22:57:05  -378226.607755        0.099430
BFGS:    1 23:37:34  -378226.607580        0.097680
BFGS:    2 00:18:17  -378226.606080        0.105203
BFGS:    3 00:59:25  -378226.605056        0.121590
BFGS:    4 01:40:22  -378226.603495        0.106271
BFGS:    5 02:21:11  -378226.603274        0.095873
BFGS:    6 03:01:43  -378226.603817        0.089407
BFGS:    7 03:42:38  -378226.604132        0.103229
BFGS:    8 04:23:35  -378226.604169        0.049466
BFGS:    9 05:04:32  -378226.604220        0.038819
BFGS:   10 05:45:29  -378226.604352        0.046773
BFGS:   11 06:26:20  -378226.604574        0.054939
BFGS:   12 07:07:14  -378226.604727        0.049898
BFGS:   13 07:48:20  -378226.604670        0.050218
BFGS:   14 08:29:25  -378226.604437        0.049903
BFGS:   15 09:10:29  -378226.604202        0.064591
BFGS:   16 09:51:23  -378226.604087        0.067167
BFGS:   17 10:32:35  -378226.604025        0.074034
BFGS:   18 11:13:47  -378226.603884        0.064021
BFGS:   19 11:55:11  -378226.603557        0.070059
BFGS:   20 12:36:49  -378226.603189        0.057213
BFGS:   21 13:18:10  -378226.602954        0.057652
BFGS:   22 13:59:58  -378226.602870        0.050094
BFGS:   23 14:41:39  -378226.602993        0.087125
BFGS:   24 15:24:35  -378226.603228        0.097402
BFGS:   25 16:07:39  -378226.603669        0.079984
BFGS:   26 16:50:47  -378226.603680        0.108161
BFGS:   27 17:34:18  -378226.603878        0.052224
BFGS:   28 18:18:25  -378226.603920        0.048783
BFGS:   29 19:03:01  -378226.603930        0.061751
BFGS:   30 19:47:39  -378226.603846        0.086260
BFGS:   31 20:32:20  -378226.603619        0.076194
BFGS:   32 21:17:11  -378226.603308        0.060083
BFGS:   33 22:02:19  -378226.602909        0.057316
BFGS:   34 22:47:30  -378226.603043        0.073446
BFGS:   35 23:33:07  -378226.603288        0.100516
BFGS:   36 00:18:52  -378226.603734        0.096177
BFGS:   37 01:05:07  -378226.603883        0.064003
BFGS:   38 01:51:22  -378226.603985        0.050184
BFGS:   39 02:38:05  -378226.604044        0.062053
BFGS:   40 03:25:12  -378226.604062        0.067089
BFGS:   41 04:12:25  -378226.604062        0.048293
BFGS:   42 05:01:07  -378226.603932        0.046683
BFGS:   43 05:49:58  -378226.604002        0.051337
BFGS:   44 06:39:08  -378226.604040        0.076264
BFGS:   45 07:28:41  -378226.604081        0.079190
BFGS:   46 08:19:01  -378226.604074        0.058961
BFGS:   47 09:09:13  -378226.604020        0.035552
BFGS:   48 10:00:15  -378226.603972        0.039276
BFGS:   49 10:52:33  -378226.603953        0.054526
BFGS:   50 11:45:24  -378226.603970        0.062785
BFGS:   51 12:39:10  -378226.603970        0.051062
BFGS:   52 13:33:39  -378226.603994        0.037168
BFGS:   53 14:28:52  -378226.604049        0.042792
BFGS:   54 15:24:38  -378226.604139        0.046974
BFGS:   55 16:21:26  -378226.604153        0.062511
BFGS:   56 17:18:58  -378226.604158        0.043888
BFGS:   57 18:17:26  -378226.603971        0.057995
BFGS:   58 19:17:00  -378226.604125        0.059794
BFGS:   59 20:17:34  -378226.604209        0.052920
BFGS:   60 21:18:55  -378226.604245        0.028627
