      Step     Time          Energy          fmax
BFGS:    0 01:32:48  -378226.604250        0.027808
BFGS:    1 02:23:52  -378226.604263        0.026636
BFGS:    2 03:15:00  -378226.604314        0.033717
BFGS:    3 04:05:45  -378226.604327        0.031134
BFGS:    4 04:56:39  -378226.604344        0.030146
BFGS:    5 05:47:33  -378226.604337        0.028887
BFGS:    6 06:38:37  -378226.604323        0.033640
BFGS:    7 07:29:48  -378226.604318        0.028801
BFGS:    8 08:20:55  -378226.604318        0.022624
BFGS:    9 09:12:28  -378226.604324        0.024917
BFGS:   10 10:03:34  -378226.604333        0.035030
BFGS:   11 10:55:06  -378226.604347        0.028263
BFGS:   12 11:46:23  -378226.604362        0.024384
BFGS:   13 12:37:43  -378226.604373        0.025509
BFGS:   14 13:29:08  -378226.604372        0.035091
BFGS:   15 14:20:43  -378226.604364        0.030017
BFGS:   16 15:12:31  -378226.604355        0.026568
BFGS:   17 16:04:09  -378226.604353        0.023482
BFGS:   18 16:56:08  -378226.604359        0.028719
BFGS:   19 17:47:49  -378226.604365        0.027354
BFGS:   20 18:40:09  -378226.604370        0.023801
BFGS:   21 19:32:25  -378226.604376        0.021201
BFGS:   22 20:24:33  -378226.604381        0.031227
BFGS:   23 21:17:32  -378226.604385        0.033233
BFGS:   24 22:10:52  -378226.604382        0.025431
BFGS:   25 23:04:47  -378226.604383        0.018531
BFGS:   26 23:59:06  -378226.604384        0.026861
BFGS:   27 00:53:26  -378226.604385        0.026101
BFGS:   28 01:48:12  -378226.604386        0.024740
BFGS:   29 02:42:50  -378226.604386        0.022299
BFGS:   30 03:37:33  -378226.604388        0.023793
BFGS:   31 04:32:45  -378226.604393        0.022733
BFGS:   32 05:28:42  -378226.604399        0.016550
BFGS:   33 06:24:42  -378226.604401        0.015459
BFGS:   34 07:20:54  -378226.604402        0.017285
BFGS:   35 08:17:34  -378226.604402        0.019018
BFGS:   36 09:14:32  -378226.604402        0.011312
BFGS:   37 10:12:03  -378226.604402        0.011549
BFGS:   38 11:09:56  -378226.604403        0.015406
BFGS:   39 12:08:29  -378226.604403        0.018103
BFGS:   40 13:06:57  -378226.604403        0.013119
BFGS:   41 14:06:56  -378226.604403        0.015871
BFGS:   42 15:06:47  -378226.604403        0.015444
BFGS:   43 16:07:31  -378226.604402        0.023830
BFGS:   44 17:08:43  -378226.604401        0.021018
BFGS:   45 18:10:40  -378226.604399        0.014037
BFGS:   46 19:13:14  -378226.604400        0.012717
BFGS:   47 20:16:35  -378226.604400        0.020395
BFGS:   48 21:20:59  -378226.604401        0.022501
BFGS:   49 22:26:49  -378226.604399        0.025970
BFGS:   50 23:31:50  -378226.604402        0.017092
BFGS:   51 00:38:37  -378226.604402        0.024062
