      Step     Time          Energy          fmax
BFGS:    0 23:18:01  -378224.386435       11.054062
BFGS:    1 23:57:30  -378224.736786        4.419842
BFGS:    2 00:36:46  -378225.053183        3.583076
BFGS:    3 01:16:36  -378225.196434        9.236936
BFGS:    4 01:57:09  -378225.653675        2.237392
BFGS:    5 01:38:42  -378225.812347        1.612232
BFGS:    6 02:19:12  -378226.160239        4.588513
BFGS:    7 02:59:58  -378226.282708        2.295684
BFGS:    8 03:40:27  -378226.323040        1.380747
BFGS:    9 04:20:49  -378226.373691        0.888135
BFGS:   10 05:00:45  -378226.384670        0.766447
BFGS:   11 05:41:00  -378226.401166        0.810697
BFGS:   12 06:21:27  -378226.433544        0.726596
BFGS:   13 07:01:50  -378226.459392        0.749235
BFGS:   14 07:41:44  -378226.484459        0.820233
BFGS:   15 08:22:19  -378226.500656        0.743840
BFGS:   16 09:03:06  -378226.515890        0.685047
BFGS:   17 09:43:45  -378226.533736        0.499039
BFGS:   18 10:24:56  -378226.547296        0.510131
BFGS:   19 11:06:00  -378226.554228        0.358281
BFGS:   20 11:46:50  -378226.560182        0.344422
BFGS:   21 12:28:27  -378226.567105        0.381750
BFGS:   22 13:09:49  -378226.574692        0.365394
BFGS:   23 13:51:53  -378226.579894        0.273325
BFGS:   24 14:33:47  -378226.582985        0.242108
BFGS:   25 15:15:58  -378226.585917        0.281232
BFGS:   26 15:58:54  -378226.589260        0.300727
BFGS:   27 16:42:08  -378226.592314        0.219854
BFGS:   28 17:25:18  -378226.594206        0.227939
BFGS:   29 18:09:06  -378226.595562        0.238870
BFGS:   30 18:53:00  -378226.595949        0.234550
BFGS:   31 19:36:52  -378226.596404        0.178063
BFGS:   32 20:21:29  -378226.596351        0.189958
BFGS:   33 21:06:12  -378226.596584        0.164689
BFGS:   34 21:51:27  -378226.596806        0.197014
BFGS:   35 22:36:48  -378226.597995        0.184010
BFGS:   36 23:23:02  -378226.598801        0.128701
BFGS:   37 00:09:34  -378226.600526        0.122818
BFGS:   38 00:56:29  -378226.601584        0.118044
BFGS:   39 01:43:14  -378226.602941        0.141964
BFGS:   40 02:30:22  -378226.603290        0.120784
BFGS:   41 03:17:46  -378226.603212        0.111945
BFGS:   42 04:06:02  -378226.602995        0.130372
BFGS:   43 04:55:10  -378226.602959        0.167103
BFGS:   44 05:45:08  -378226.602834        0.159280
BFGS:   45 06:35:13  -378226.602552        0.103636
BFGS:   46 07:25:15  -378226.601606        0.120359
BFGS:   47 08:16:47  -378226.601589        0.151948
BFGS:   48 09:08:48  -378226.602132        0.123946
BFGS:   49 10:01:31  -378226.603889        0.132976
BFGS:   50 10:54:15  -378226.604310        0.115651
BFGS:   51 11:48:46  -378226.604549        0.068987
BFGS:   52 12:43:48  -378226.604681        0.061987
BFGS:   53 13:39:31  -378226.604883        0.111956
BFGS:   54 14:35:02  -378226.605089        0.110313
BFGS:   55 15:31:38  -378226.605419        0.102980
BFGS:   56 16:29:01  -378226.605850        0.108353
BFGS:   57 17:27:17  -378226.606720        0.177238
BFGS:   58 18:27:01  -378226.607226        0.203360
BFGS:   59 19:27:19  -378226.607421        0.154290
BFGS:   60 20:27:51  -378226.607608        0.058226
BFGS:   61 21:30:04  -378226.607755        0.049011
