## SLURM PROLOG ###############################################################
##    Job ID : 13675433
##  Job Name : test
##  Nodelist : node1912
##      CPUs : 48
##  Mem/Node : 98304 MB
## Directory : /oscar/scratch/kbadger1/SaddleClimb/examples/H2O_to_OH_H/minimizations/init
##   Job Started : Fri Oct 31 06:38:50 PM EDT 2025
###############################################################################
      Step     Time          Energy          fmax
BFGS:    0 18:44:46  -378227.675020        0.064125
BFGS:    1 18:50:33  -378227.675349        0.061702
BFGS:    2 18:56:19  -378227.679104        0.078413
BFGS:    3 19:02:05  -378227.679403        0.068272
BFGS:    4 19:07:53  -378227.680211        0.020141
BFGS:    5 19:13:41  -378227.680243        0.017127
BFGS:    6 19:19:29  -378227.680257        0.013677
BFGS:    7 19:25:12  -378227.680271        0.009482
BFGS:    8 19:31:01  -378227.680270        0.006731
BFGS:    9 19:36:47  -378227.680265        0.006109
BFGS:   10 19:42:36  -378227.680266        0.005497
BFGS:   11 19:48:26  -378227.680268        0.006284
BFGS:   12 19:54:15  -378227.680271        0.004383
BFGS:   13 20:00:03  -378227.680273        0.003015
BFGS:   14 20:05:52  -378227.680276        0.002942
BFGS:   15 20:11:41  -378227.680280        0.004425
BFGS:   16 20:17:29  -378227.680282        0.004421
BFGS:   17 20:23:16  -378227.680285        0.003726
BFGS:   18 20:29:05  -378227.680285        0.003859
BFGS:   19 20:34:56  -378227.680284        0.004268
BFGS:   20 20:40:42  -378227.680288        0.008098
BFGS:   21 20:46:29  -378227.680298        0.012634
BFGS:   22 20:52:15  -378227.680318        0.014306
BFGS:   23 20:57:59  -378227.680349        0.011441
BFGS:   24 21:03:42  -378227.680380        0.011624
BFGS:   25 21:09:31  -378227.680406        0.012397
BFGS:   26 21:15:31  -378227.680455        0.020143
BFGS:   27 21:21:33  -378227.680482        0.031831
BFGS:   28 21:27:36  -378227.680537        0.022987
BFGS:   29 21:33:35  -378227.680568        0.017806
BFGS:   30 21:39:39  -378227.680668        0.017596
BFGS:   31 21:45:29  -378227.680752        0.025274
BFGS:   32 21:51:16  -378227.681410        0.070033
BFGS:   33 21:57:15  -378227.683848        0.107721
BFGS:   34 22:03:07  -378227.681732        0.124219
BFGS:   35 22:08:45  -378227.684308        0.042665
BFGS:   36 22:14:27  -378227.684456        0.035626
BFGS:   37 22:20:08  -378227.684731        0.035000
BFGS:   38 22:25:50  -378227.684893        0.039688
BFGS:   39 22:31:29  -378227.685230        0.046450
BFGS:   40 22:37:07  -378227.685430        0.031771
BFGS:   41 22:42:49  -378227.685652        0.037446
BFGS:   42 22:48:27  -378227.685860        0.034698
BFGS:   43 22:54:07  -378227.686064        0.045632
BFGS:   44 22:59:50  -378227.686250        0.038269
