## SLURM PROLOG ###############################################################
##    Job ID : 14749120
##  Job Name : test
##  Nodelist : node[1849-1850]
##      CPUs : 96
##  Mem/Node : 98304 MB
## Directory : /oscar/scratch/kbadger1/SaddleClimb/examples/HCO_to_H_CH_Co0001/IRC/saddelclimb_IRC/IRC_3
##   Job Started : Mon Dec  8 11:45:22 PM EST 2025
###############################################################################
/users/kbadger1/anaconda3/envs/ase/lib/python3.13/site-packages/sella/peswrapper.py:325: RuntimeWarning: invalid value encountered in scalar divide
  ratio = df_actual / df_pred
     Step     Time          Energy          fmax
IRC:    0 02:26:23   -82403.038912        0.000669
IRC:    1 03:11:38   -82403.040324        0.072528
IRC:    2 03:52:32   -82403.044788        0.148582
IRC:    3 04:21:15   -82403.052144        0.207156
IRC:    4 04:52:33   -82403.061522        0.245891
IRC:    5 05:23:41   -82403.072290        0.275471
IRC:    6 05:56:03   -82403.083992        0.302402
IRC:    7 06:28:40   -82403.096630        0.333016
IRC:    8 06:59:56   -82403.109959        0.355001
IRC:    9 07:30:07   -82403.123173        0.357579
IRC:   10 08:00:05   -82403.135607        0.339373
IRC:   11 08:31:31   -82403.146918        0.314196
IRC:   12 09:05:10   -82403.157301        0.291767
IRC:   13 09:33:57   -82403.167017        0.268806
IRC:   14 10:01:17   -82403.175925        0.241435
IRC:   15 10:44:49   -82403.183970        0.220255
IRC:   16 11:14:09   -82403.191106        0.195754
IRC:   17 11:43:32   -82403.197250        0.167424
IRC:   18 12:13:49   -82403.202584        0.152059
IRC:   19 12:42:10   -82403.207273        0.136819
IRC:   20 13:08:22   -82403.211365        0.123658
IRC:   21 13:52:33   -82403.214787        0.103226
IRC:   22 14:36:07   -82403.217442        0.083705
IRC:   23 15:07:08   -82403.219458        0.066640
IRC:   24 15:37:14   -82403.221091        0.057028
IRC:   25 15:53:12   -82403.222566        0.051263
IRC:   26 16:08:01   -82403.223958        0.047412
IRC:   27 16:22:43   -82403.225301        0.042914
IRC:   28 16:37:00   -82403.226686        0.041377
IRC:   29 16:52:12   -82403.228119        0.041028
IRC:   30 17:06:34   -82403.229618        0.042824
IRC:   31 17:36:39   -82403.231110        0.043865
IRC:   32 18:04:58   -82403.232529        0.040028
IRC:   33 18:33:55   -82403.233773        0.037798
IRC:   34 18:47:33   -82403.234951        0.034415
IRC:   35 19:02:18   -82403.236055        0.033637
IRC:   36 19:30:04   -82403.236885        0.025479
IRC:   37 19:57:01   -82403.237592        0.020923
IRC:   38 20:09:54   -82403.238376        0.023276
IRC:   39 20:23:57   -82403.239254        0.023692
IRC:   40 20:52:05   -82403.240134        0.023752
IRC:   41 21:20:37   -82403.240948        0.020835
IRC:   42 21:34:02   -82403.241490        0.017335
IRC:   43 21:48:14   -82403.241881        0.013325
IRC:   44 22:16:44   -82403.242341        0.013108
IRC:   45 22:47:08   -82403.242564        0.003990
IRC:   46 23:47:37   -82403.040209        0.068696
IRC:   47 00:28:42   -82403.044234        0.135132
IRC:   48 00:57:44   -82403.051401        0.204784
IRC:   49 01:25:34   -82403.061709        0.273204
IRC:   50 01:57:08   -82403.074756        0.340003
IRC:   51 02:27:16   -82403.089616        0.394290
IRC:   52 02:55:55   -82403.105450        0.439240
IRC:   53 03:22:59   -82403.121570        0.469657
IRC:   54 03:50:06   -82403.137570        0.491496
IRC:   55 04:19:17   -82403.153134        0.503460
IRC:   56 04:49:16   -82403.168044        0.509026
IRC:   57 05:17:10   -82403.182362        0.508861
IRC:   58 05:45:12   -82403.196213        0.506927
IRC:   59 06:12:11   -82403.209684        0.503651
IRC:   60 06:37:47   -82403.222902        0.501255
IRC:   61 07:05:34   -82403.236051        0.502279
IRC:   62 07:45:28   -82403.249441        0.515380
IRC:   63 08:24:59   -82403.263777        0.547036
IRC:   64 09:19:29   -82403.281096        0.610259
IRC:   65 10:14:41   -82403.306398        0.691338
IRC:   66 10:56:43   -82403.344976        0.756992
IRC:   67 11:41:03   -82403.397960        0.813763
IRC:   68 12:09:16   -82403.466253        0.864653
IRC:   69 12:36:32   -82403.543210        0.861110
IRC:   70 13:06:01   -82403.624025        0.842795
IRC:   71 13:35:54   -82403.706083        0.815532
IRC:   72 14:20:31   -82403.788264        0.786823
IRC:   73 14:52:25   -82403.868335        0.756400
IRC:   74 15:21:46   -82403.944034        0.724096
