      Step     Time          Energy          fmax
BFGS:    0 14:00:46   -82403.046665        0.037661
BFGS:    1 16:16:27   -82403.046680        0.031223
BFGS:    2 18:34:05   -82403.046672        0.028925
BFGS:    3 20:50:02   -82403.046683        0.023404
BFGS:    4 23:07:46   -82403.046702        0.018535
BFGS:    5 01:24:45   -82403.046703        0.019481
BFGS:    6 03:42:23   -82403.046711        0.024016
BFGS:    7 06:00:39   -82403.046735        0.020312
BFGS:    8 08:19:29   -82403.046748        0.016817
BFGS:    9 10:39:26   -82403.046756        0.018255
BFGS:   10 12:58:11   -82403.046776        0.028663
BFGS:   11 15:18:50   -82403.046815        0.026666
BFGS:   12 17:39:21   -82403.046878        0.024908
BFGS:   13 19:59:58   -82403.046923        0.031294
BFGS:   14 22:22:26   -82403.046983        0.055163
BFGS:   15 00:46:04   -82403.047088        0.064941
BFGS:   16 03:10:20   -82403.047273        0.073770
BFGS:   17 05:37:57   -82403.047378        0.074667
BFGS:   18 08:02:56   -82403.047511        0.119908
BFGS:   19 10:36:39   -82403.043186        0.599961
BFGS:   20 13:06:11   -82403.047548        0.256961
BFGS:   21 15:36:17   -82403.047464        0.286579
BFGS:   22 18:05:27   -82403.046862        0.464448
BFGS:   23 20:39:29   -82403.047803        0.491568
BFGS:   24 23:14:15   -82403.048144        0.481079
BFGS:   25 01:48:54   -82403.049720        0.302413
BFGS:   26 04:29:10   -82403.054149        0.689994
BFGS:   27 07:11:12   -82403.055754        0.485053
BFGS:   28 09:58:47   -82403.052878        0.589918
