      Step     Time          Energy          fmax
BFGS:    0 17:08:49   -82401.615519        0.041609
BFGS:    1 18:47:52   -82401.615528        0.050954
BFGS:    2 20:28:18   -82401.615525        0.027414
BFGS:    3 22:06:30   -82401.615527        0.026440
BFGS:    4 23:44:29   -82401.615540        0.029314
BFGS:    5 01:24:00   -82401.615538        0.034588
BFGS:    6 03:02:52   -82401.615537        0.045399
BFGS:    7 04:40:02   -82401.615560        0.039027
BFGS:    8 06:16:54   -82401.615579        0.034408
BFGS:    9 07:56:07   -82401.615581        0.035174
BFGS:   10 09:36:53   -82401.615577        0.044096
BFGS:   11 11:17:09   -82401.615589        0.033073
BFGS:   12 12:56:40   -82401.615600        0.029206
BFGS:   13 14:37:30   -82401.615589        0.033852
BFGS:   14 16:19:09   -82401.615582        0.047316
BFGS:   15 18:01:49   -82401.615588        0.034014
BFGS:   16 19:45:04   -82401.615597        0.028430
