      Step     Time          Energy          fmax
BFGS:    0 13:55:19   -82401.603986        0.382813
BFGS:    1 15:35:55   -82401.604593        0.346274
BFGS:    2 17:13:00   -82401.605621        0.258577
BFGS:    3 18:52:01   -82401.606253        0.225326
BFGS:    4 20:31:47   -82401.606942        0.229168
BFGS:    5 22:10:01   -82401.608077        0.341050
BFGS:    6 23:52:38   -82401.608983        0.205660
BFGS:    7 01:30:11   -82401.609857        0.204724
BFGS:    8 03:09:43   -82401.610298        0.205341
BFGS:    9 04:50:13   -82401.610908        0.200444
BFGS:   10 06:29:04   -82401.612040        0.208105
BFGS:   11 08:09:00   -82401.613873        0.160198
BFGS:   12 09:51:39   -82401.615674        0.172251
BFGS:   13 11:33:45   -82401.617608        0.190078
BFGS:   14 13:17:25   -82401.619220        0.228247
BFGS:   15 15:00:01   -82401.621373        0.184318
BFGS:   16 16:48:18   -82401.622698        0.194680
BFGS:   17 18:33:53   -82401.622800        0.204046
BFGS:   18 20:22:05   -82401.622934        0.255432
BFGS:   19 22:11:24   -82401.624632        0.199462
BFGS:   20 23:59:16   -82401.626229        0.167095
BFGS:   21 01:48:27   -82401.626742        0.135143
BFGS:   22 03:37:14   -82401.627029        0.182885
BFGS:   23 05:26:14   -82401.627667        0.152199
BFGS:   24 07:18:03   -82401.628142        0.125445
BFGS:   25 09:10:51   -82401.628086        0.094836
BFGS:   26 11:01:24   -82401.627884        0.134521
BFGS:   27 12:55:55   -82401.628269        0.110343
BFGS:   28 14:52:46   -82401.628782        0.091948
