      Step     Time          Energy          fmax
BFGS:    0 02:06:59   -82403.074189        0.180207
BFGS:    1 04:30:26   -82403.074309        0.113730
BFGS:    2 07:03:18   -82403.073451        0.181541
BFGS:    3 09:28:16   -82403.072243        0.216478
BFGS:    4 11:56:43   -82403.069928        0.266709
BFGS:    5 14:20:49   -82403.067668        0.286430
BFGS:    6 16:47:10   -82403.065782        0.189038
BFGS:    7 19:10:52   -82403.065136        0.176357
BFGS:    8 21:34:33   -82403.064958        0.161297
BFGS:    9 23:56:32   -82403.064852        0.191036
BFGS:   10 02:14:10   -82403.064313        0.148096
BFGS:   11 04:30:54   -82403.063694        0.156096
BFGS:   12 06:51:54   -82403.063788        0.170526
BFGS:   13 09:12:56   -82403.064385        0.252004
BFGS:   14 11:36:01   -82403.064622        0.209390
BFGS:   15 13:58:03   -82403.064661        0.161737
BFGS:   16 16:21:27   -82403.065046        0.118342
BFGS:   17 18:46:42   -82403.065593        0.196678
BFGS:   18 21:16:52   -82403.066210        0.284116
BFGS:   19 23:46:33   -82403.067828        0.290160
BFGS:   20 02:19:37   -82403.068613        0.252463
BFGS:   21 04:52:47   -82403.067904        0.248524
