      Step     Time          Energy          fmax
BFGS:    0 14:01:02   -82403.066490        0.047532
BFGS:    1 16:18:07   -82403.066512        0.047709
BFGS:    2 18:36:52   -82403.066408        0.072222
BFGS:    3 20:52:26   -82403.066432        0.065486
BFGS:    4 23:08:08   -82403.066498        0.032372
BFGS:    5 01:24:46   -82403.066493        0.034485
BFGS:    6 03:40:35   -82403.066441        0.060334
BFGS:    7 05:59:16   -82403.066434        0.062736
BFGS:    8 08:14:39   -82403.066482        0.038540
BFGS:    9 10:32:07   -82403.066493        0.037244
BFGS:   10 12:50:56   -82403.066451        0.063607
BFGS:   11 15:10:57   -82403.066435        0.071871
BFGS:   12 17:31:01   -82403.066513        0.057077
BFGS:   13 19:50:18   -82403.066564        0.045467
BFGS:   14 22:14:58   -82403.066539        0.052704
BFGS:   15 00:39:48   -82403.066511        0.069978
BFGS:   16 03:03:26   -82403.066561        0.053702
BFGS:   17 05:28:47   -82403.066626        0.037825
BFGS:   18 07:55:45   -82403.066615        0.033349
BFGS:   19 10:23:39   -82403.066566        0.056485
BFGS:   20 12:54:27   -82403.066575        0.053882
BFGS:   21 15:22:19   -82403.066636        0.027364
BFGS:   22 17:52:27   -82403.066644        0.030012
BFGS:   23 20:26:22   -82403.066605        0.046968
BFGS:   24 22:57:58   -82403.066579        0.059091
BFGS:   25 01:34:05   -82403.066621        0.039981
BFGS:   26 04:12:28   -82403.066651        0.026848
BFGS:   27 06:50:17   -82403.066636        0.035484
BFGS:   28 09:31:03   -82403.066595        0.051076
