      Step     Time          Energy          fmax
BFGS:    0 00:49:33   -82403.076989        0.156293
BFGS:    1 03:21:26   -82403.077280        0.120596
BFGS:    2 05:52:33   -82403.077394        0.113926
BFGS:    3 08:20:07   -82403.077453        0.111667
BFGS:    4 10:51:00   -82403.077415        0.129708
BFGS:    5 13:17:37   -82403.077205        0.158734
BFGS:    6 15:52:02   -82403.077011        0.181579
BFGS:    7 18:22:54   -82403.077538        0.122655
BFGS:    8 20:56:16   -82403.077825        0.115060
BFGS:    9 23:29:47   -82403.077580        0.141416
BFGS:   10 02:05:04   -82403.076805        0.240098
BFGS:   11 04:39:03   -82403.076317        0.274728
BFGS:   12 07:14:34   -82403.076791        0.186352
BFGS:   13 09:46:51   -82403.076993        0.215313
BFGS:   14 12:23:05   -82403.074283        0.375906
BFGS:   15 15:02:12   -82403.065423        0.700894
BFGS:   16 17:43:21   -82403.070771        0.519168
BFGS:   17 20:28:36   -82403.070424        0.532522
BFGS:   18 23:08:19   -82403.067876        0.554790
BFGS:   19 01:44:19   -82403.073126        0.462937
BFGS:   20 04:23:43   -82403.074807        0.420430
BFGS:   21 07:05:23   -82403.073893        0.295195
BFGS:   22 09:48:15   -82403.072860        0.303476
BFGS:   23 12:33:50   -82403.073164        0.270120
BFGS:   24 15:20:30   -82403.074111        0.214555
BFGS:   25 18:03:42   -82403.074222        0.148353
BFGS:   26 20:53:12   -82403.074189        0.153155
