      Step     Time          Energy          fmax
BFGS:    0 17:20:44   -82397.446250       45.556696
BFGS:    1 19:01:18   -82400.074264       13.217758
BFGS:    2 20:39:46   -82400.655127        6.849451
BFGS:    3 22:17:42   -82401.009641        4.008536
BFGS:    4 23:55:50   -82401.048436        2.971325
BFGS:    5 01:36:40   -82401.189179        2.920300
BFGS:    6 03:16:14   -82401.268129        2.958983
BFGS:    7 04:56:00   -82401.250466        2.940488
BFGS:    8 06:31:29   -82401.414996        1.974212
BFGS:    9 08:08:52   -82401.487244        1.365722
BFGS:   10 09:45:36   -82401.496713        1.044150
BFGS:   11 11:24:28   -82401.452746        1.201570
BFGS:   12 13:02:06   -82401.444228        1.210687
BFGS:   13 14:39:48   -82401.482964        1.078605
BFGS:   14 16:18:13   -82401.542364        0.949158
BFGS:   15 18:00:20   -82401.533266        0.961024
BFGS:   16 19:43:42   -82401.533493        0.987260
BFGS:   17 21:28:04   -82401.558509        1.044588
BFGS:   18 23:11:44   -82401.572475        1.371201
BFGS:   19 00:55:37   -82401.599394        0.920051
BFGS:   20 02:44:26   -82401.613796        1.624754
BFGS:   21 04:29:13   -82401.617561        1.335653
BFGS:   22 06:18:06   -82401.618990        1.099460
BFGS:   23 08:05:10   -82401.626829        0.786102
BFGS:   24 09:54:06   -82401.630228        0.670629
BFGS:   25 11:44:00   -82401.652359        0.914972
BFGS:   26 13:36:54   -82401.673073        0.935307
BFGS:   27 15:34:01   -82401.685523        0.782000
BFGS:   28 17:30:45   -82401.686430        0.644475
BFGS:   29 19:30:08   -82401.686754        0.411463
BFGS:   30 21:26:30   -82401.689577        0.393999
BFGS:   31 23:27:03   -82401.694471        0.309875
BFGS:   32 01:26:58   -82401.699104        0.335539
BFGS:   33 03:33:07   -82401.703594        0.305120
BFGS:   34 05:39:01   -82401.706873        0.267363
BFGS:   35 07:46:01   -82401.712996        0.208099
BFGS:   36 09:55:33   -82401.717322        0.203980
BFGS:   37 12:11:30   -82401.723974        0.323737
BFGS:   38 14:30:34   -82401.730381        0.288812
