      Step     Time          Energy          fmax
BFGS:    0 13:36:39   -82403.192178        0.628925
BFGS:    1 15:57:17   -82403.192886        0.724785
BFGS:    2 18:18:59   -82403.194500        0.244702
BFGS:    3 20:38:05   -82403.194803        0.226350
BFGS:    4 22:58:25   -82403.195211        0.361249
BFGS:    5 01:19:37   -82403.194495        0.308575
BFGS:    6 03:38:49   -82403.194646        0.189361
BFGS:    7 06:00:52   -82403.193846        0.288633
BFGS:    8 08:21:34   -82403.193272        0.596825
BFGS:    9 10:41:35   -82403.192696        0.349307
BFGS:   10 13:03:45   -82403.192164        0.267943
BFGS:   11 15:23:00   -82403.189826        0.342751
BFGS:   12 17:42:18   -82403.182316        0.631901
BFGS:   13 20:04:16   -82403.161232        0.676096
BFGS:   14 22:24:39   -82403.176323        0.415673
BFGS:   15 00:49:55   -82403.192274        0.258534
BFGS:   16 03:20:19   -82403.187853        0.272027
BFGS:   17 05:46:20   -82403.190406        0.234139
BFGS:   18 08:12:24   -82403.196018        0.218861
BFGS:   19 10:40:57   -82403.195134        0.155272
BFGS:   20 13:12:17   -82403.157470        0.236409
BFGS:   21 15:45:53   -82403.170871        0.204628
BFGS:   22 18:19:45   -82403.198701        0.311461
BFGS:   23 20:56:14   -82403.181412        0.205058
BFGS:   24 23:32:49   -82403.183093        0.200108
BFGS:   25 02:12:59   -82403.206047        0.455651
BFGS:   26 04:54:05   -82403.206057        0.274746
BFGS:   27 07:33:46   -82403.206758        0.268757
BFGS:   28 10:16:54   -82403.195444        0.359294
