      Step     Time          Energy          fmax
BFGS:    0 00:25:11   -82403.063702        0.033999
BFGS:    1 02:43:47   -82403.063718        0.028623
BFGS:    2 04:57:58   -82403.063769        0.041774
BFGS:    3 07:15:21   -82403.063821        0.035733
BFGS:    4 09:30:52   -82403.063915        0.037433
BFGS:    5 11:48:29   -82403.064019        0.032869
BFGS:    6 14:04:09   -82403.064098        0.042217
BFGS:    7 16:23:11   -82403.064219        0.031103
BFGS:    8 18:42:03   -82403.064353        0.043978
BFGS:    9 21:00:16   -82403.064458        0.040668
BFGS:   10 23:18:38   -82403.064572        0.061510
BFGS:   11 01:38:25   -82403.064802        0.056548
BFGS:   12 03:54:39   -82403.065036        0.043862
BFGS:   13 06:13:29   -82403.065146        0.052848
