## SLURM PROLOG ###############################################################
##    Job ID : 13675497
##  Job Name : test
##  Nodelist : node1855
##      CPUs : 48
##  Mem/Node : 98304 MB
## Directory : /oscar/scratch/kbadger1/SaddleClimb/examples/H_diffusion_Pt111/minimizations/fcc
##   Job Started : Fri Oct 31 06:42:19 PM EDT 2025
###############################################################################
      Step     Time          Energy          fmax
BFGS:    0 18:48:16  -377632.586948        0.067104
BFGS:    1 18:53:30  -377632.587376        0.059869
BFGS:    2 18:58:40  -377632.591036        0.055182
BFGS:    3 19:03:50  -377632.591357        0.050936
BFGS:    4 19:08:56  -377632.592632        0.031126
BFGS:    5 19:14:06  -377632.592682        0.030415
BFGS:    6 19:19:14  -377632.592943        0.019601
BFGS:    7 19:24:35  -377632.592959        0.017563
BFGS:    8 19:29:44  -377632.592997        0.012637
BFGS:    9 19:34:51  -377632.593029        0.008795
BFGS:   10 19:39:56  -377632.593016        0.006216
BFGS:   11 19:45:01  -377632.593057        0.005887
BFGS:   12 19:50:06  -377632.593061        0.004618
BFGS:   13 19:55:14  -377632.593063        0.002624
BFGS:   14 20:00:19  -377632.593064        0.002541
BFGS:   15 20:05:27  -377632.593066        0.002831
BFGS:   16 20:10:29  -377632.593068        0.002489
BFGS:   17 20:15:35  -377632.593070        0.001827
BFGS:   18 20:20:39  -377632.593071        0.001297
BFGS:   19 20:25:48  -377632.593071        0.000919
